S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 89,T,DC,26,,,,,201.742110999999,,10.085583333333334,77.91755555555557,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91755555555557 10.085583333333334, 77.918 10.085944444444445)"
2,1,T,SB,21,LILO : 89-1,64.5030043234479,1.22,"=IF(H7>15,0)",202.291412,"5°57'0""R",10.085944444444445,77.918,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.918 10.085944444444445, 77.91925 10.087194444444446)"
3,2,S,SA,22,1-2,194.73809603224763,3.07,"=IF(H8>15,0)",205.315277,,10.087194444444446,77.91925,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91925 10.087194444444446, 77.92066666666668 10.08863888888889)"
4,3,T,SB,22,2-3,220.3600471940026,1.3,"=IF(H9>15,0)",206.675476,"13°30'36""L",10.08863888888889,77.92066666666668,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92066666666668 10.08863888888889, 77.92169444444446 10.089305555555557)"
5,4,T,DC,26,3-4,136.85470810247088,0.18,"=IF(H10>15,0)",205.881699,"17°54'0""R",10.089305555555557,77.92169444444446,GOOD,Available,,,Agri,Common Tower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92169444444446 10.089305555555557, 77.92186111111111 10.089500000000001)"
6,Gantry,Gantry,H-POLE,12,4-Gantry,28.352571636859814,,,207.975006,,10.089500000000001,77.92186111111111,GOOD,NO E/W,,,Plain,Cement Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
