S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,52,,T,DC,26,51 -52,133.3805092,2.2,FALSE,120.75663,"3°13'30"" L",9.885972222,78.26644444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26644444444445 9.885972222222222, 78.26744444444445 9.88438888888889)"
22,53,,S,DA,26,52-53,206.6998043,3.11,FALSE,120.541595,,9.884388889,78.26744444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26744444444445 9.88438888888889, 78.26888888888888 9.882111111111112)"
23,54,,S,DA,26,53-54,298.8374086,3.7,FALSE,122.593666,,9.882111111,78.26888889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26888888888888 9.882111111111112, 78.27033333333333 9.879861111111111)"
24,55,,S,DA,26,54-55,296.0222437,6.14,FALSE,119.251877,,9.879861111,78.27033333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27033333333333 9.879861111111111, 78.27183333333333 9.877500000000001)"
25,56,,T,DC,26,55-56,308.2909629,2.24,FALSE,119.082733,"0°12'21"" R",9.8775,78.27183333,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27183333333333 9.877500000000001, 78.2731388888889 9.875444444444446)"
26,57,,S,DA,26,56-57,269.6335162,5.42,FALSE,120.992043,,9.875444444,78.27313889,GOOD,Available,,NH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2731388888889 9.875444444444446, 78.27463888888889 9.873083333333334)"
27,58,,S,DA,26,57-58,305.9891561,1.06,FALSE,123.319397,,9.873083333,78.27463889,GOOD,Available,"HT,LT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27463888888889 9.873083333333334, 78.27541666666667 9.871861111111112)"
28,LILO : 59/1  ,3W,T,DC,26,58-59/1,162.2919074,4.69,FALSE,123.750748,"2°18'41"" R",9.871861111,78.27541667,GOOD,Available,,,PLAIN,LILO at Nelmudikarrai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27541666666667 9.871861111111112, 78.27605555555556 9.870750000000001)"
29,60,,S,DA,26,59/1-60,141.5829827,3.22,FALSE,120.063492,,9.87075,78.27605556,GOOD,Available,"HT,LT",Madurai - Sivagangai Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27605555555556 9.870750000000001, 78.27688888888889 9.869305555555556)"
30,61,,T,DC,26,60-61,184.4743805,1.49,FALSE,121.316391,"72°45'5"" L",9.869305556,78.27688889,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27688888888889 9.869305555555556, 78.27788888888888 9.869527777777778)"
31,62,,T,DC,26,61-62,111.6454351,5.64,FALSE,121.799911,"80°27'17"" R",9.869527778,78.27788889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27788888888888 9.869527777777778, 78.27794444444444 9.868333333333334)"
32,63,,T,DC,26,62-63,132.9347024,2.63,FALSE,121.012192,"61°56'0"" L",9.868333333,78.27794444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27794444444444 9.868333333333334, 78.27986111111112 9.86738888888889)"
33,64,,S,DA,26,63-64,235.1878804,4.58,FALSE,119.837341,,9.867388889,78.27986111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27986111111112 9.86738888888889, 78.28216666666667 9.866138888888889)"
34,65,,S,DA,26,64-65,288.3454022,3.63,FALSE,117.596817,,9.866138889,78.28216667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28216666666667 9.866138888888889, 78.28444444444445 9.864916666666666)"
35,66,,S,DA,26,65-66,284.5273645,2.93,FALSE,115.121284,,9.864916667,78.28444444,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28444444444445 9.864916666666666, 78.28683333333333 9.863638888888888)"
36,67,,S,DA,26,66-67,298.284438,5.79,FALSE,112.51532,,9.863638889,78.28683333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28683333333333 9.863638888888888, 78.28919444444445 9.862361111111111)"
37,68,,S,DA,26,67-68,295.6569948,2.92,FALSE,111.104813,,9.862361111,78.28919444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28919444444445 9.862361111111111, 78.29161111111111 9.861055555555556)"
38,69,,S,DA,26,68-69,302.1845141,3.04,FALSE,110.157295,,9.861055556,78.29161111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29161111111111 9.861055555555556, 78.29413888888888 9.859694444444443)"
39,70,,T,DC,26,69-70,314.1263418,3.57,FALSE,106.559219,"37°9'54"" L",9.859694444,78.29413889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29413888888888 9.859694444444443, 78.29672222222221 9.860055555555554)"
40,71,,S,DA,26,70-71,285.9027308,3.48,FALSE,105.030594,,9.860055556,78.29672222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29672222222221 9.860055555555554, 78.29933333333334 9.860416666666666)"
41,72,,S,DA,26,71-72,292.3042497,4.21,FALSE,110.476028,,9.860416667,78.29933333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29933333333334 9.860416666666666, 78.30216666666666 9.860805555555554)"
42,73,,S,DA,26,72-73,311.8902182,2.04,FALSE,112.263199,,9.860805556,78.30216667,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30216666666666 9.860805555555554, 78.30488888888888 9.86111111111111)"
43,74,,S,DA,26,73-74,301.6626736,4.05,FALSE,114.934128,,9.861111111,78.30488889,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30488888888888 9.86111111111111, 78.30763888888889 9.861472222222222)"
44,75,2W,T,DC,26,74-75,304.2151471,1.46,FALSE,113.49247,"0°2'28"" L",9.861472222,78.30763889,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30763888888889 9.861472222222222, 78.31011111111111 9.861805555555556)"
45,76,,S,DA,26,75-76,274.2196823,3.59,FALSE,112.928185,,9.861805556,78.31011111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31011111111111 9.861805555555556, 78.31241666666666 9.862083333333333)"
46,77,,S,DA,26,76-77,254.9984602,1.25,FALSE,114.120834,,9.862083333,78.31241667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31241666666666 9.862083333333333, 78.31413888888889 9.862333333333334)"
47,78,,S,DA,26,77-78,188.8661839,3.84,FALSE,109.373589,,9.862333333,78.31413889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31413888888889 9.862333333333334, 78.31597222222221 9.862555555555556)"
48,79,,S,DA,26,78-79,203.0296304,6.15,FALSE,111.86528,,9.862555556,78.31597222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31597222222221 9.862555555555556, 78.31869444444445 9.862888888888888)"
49,80,,T,DC,26,79-80,301.2494538,2.6,FALSE,114.696335,"22°43'49"" R",9.862888889,78.31869444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31869444444445 9.862888888888888, 78.32155555555555 9.86211111111111)"
50,81,,S,DA,26,80-81,326.4876331,1.33,FALSE,110.898079,,9.862111111,78.32155556,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32155555555555 9.86211111111111, 78.32374999999999 9.8615)"
51,82,,S,DA,26,81-82,250.8888616,3.76,FALSE,113.458038,,9.8615,78.32375,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32374999999999 9.8615, 78.32638888888889 9.860722222222222)"
