S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY,2W,GANTRY,GANTRY,15,,,,28.09203,,10.20413504,78.37377945,GOOD,,,,PLAIN,KOTTAMPATTI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3737794496119 10.2041350398212, 78.373396564275 10.2042006701231)"
2,TN - 63,,T,DC,26,TN - 61A : TN - 60,44.60285901,4.7,28.109476,37°31'4''LT,10.20420067,78.37339656,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.373396564275 10.2042006701231, 78.3723556157201 10.2053265273571)"
3,TN - 62,,T,SC,23,TN - 60 : TN - 59,170.9744414,3.6,27.246119,38°8'51''RT,10.20532653,78.37235562,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3723556157201 10.2053265273571, 78.371012834832 10.2055415231734)"
4,TN - 61,,S,SC,29,TN - 59 : TN - 58,151.1310039,4.1,30.272999,,10.20554152,78.37101283,GOOD,AVAILABLE,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.371012834832 10.2055415231734, 78.3702606428414 10.2056527510285)"
5,TN - 61A,,S,SC,29,TN - 58 : TN - 57,85.38292179,10.7,26.818712,,10.20565275,78.37026064,GOOD,AVAILABLE,LT,NH,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3702606428414 10.2056527510285, 78.3688600268214 10.2058700099587)"
6,TN - 60,,T,SC,23,TN - 57 : TN - 56,157.4326658,3.6,26.5434,20°37'1''LT,10.20587001,78.36886003,GOOD,AVAILABLE,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3688600268214 10.2058700099587, 78.3664422668516 10.2072342485189)"
7,TN - 59,,S,SC,23,TN - 56 : TN - 55,307.0666682,4.5,22.432137,,10.20723425,78.36644227,GOOD,AVAILABLE,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3664422668516 10.2072342485189, 78.3638220001012 10.2086517121642)"
8,TN - 58,,S,SC,23,TN - 55 : TN - 54,329.3268131,2.9,22.175163,,10.20865171,78.363822,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3638220001012 10.2086517121642, 78.3614643383771 10.2099545951932)"
9,TN - 57,,S,SC,23,TN - 54 : TN - 53,297.9911981,4.3,22.895353,,10.2099546,78.36146434,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3614643383771 10.2099545951932, 78.3591298107057 10.211267620325)"
10,TN - 56,,S,SC,23,TN - 53 : TN - 52,296.3310397,1.6,20.033531,,10.21126762,78.35912981,GOOD,AVAILABLE,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3591298107057 10.211267620325, 78.3568165730685 10.2125393226742)"
