S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Renganathapuram Gantry,2W,GANTRY,BAY,12,,,NIL,,271.4559326,,10.6024202,77.93402307,Good,,,,,RN PURAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9340230673551 10.6024201959371, 77.9344000015407 10.6023641210049)"
2,231/68,,T,DB+0,22,Renganathapuram Gantry-68,48,4.31,FALSE,233.2437744,3°8'25''LT,10.60236412,77.9344,Good,NO E/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9344000015407 10.6023641210049, 77.9353167302906 10.6022782064974)"
3,67,,T,DB+0,22,68-67,107,2.35,FALSE,226.5146484,9°36'5''LT,10.60227821,77.93531673,Good,Good,2-22KV,NH-7 SALEM-DINDUKAL ,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9353167302906 10.6022782064974, 77.9377051535993 10.6024512927979)"
4,66,,T,DC+0,22,67-66,268,1.98,FALSE,225.5533447,28°48'21''LT,10.60245129,77.93770515,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9377051535993 10.6024512927979, 77.9400461353361 10.6039550062268)"
5,65,,T,DD+0,24,66-65,312,2.36,FALSE,222.6694336,52°48'59''LT,10.60395501,77.94004614,Good,Good,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9400461353361 10.6039550062268, 77.940220395103 10.6063085608184)"
6,64,,S,DA+0,24,65-64,269,5.68,FALSE,224.592041,,10.60630856,77.9402204,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.940220395103 10.6063085608184, 77.9403645638376 10.608622552827)"
7,63,,S,DA+0,24,64-63,264,3.25,FALSE,226.7550049,,10.60862255,77.94036456,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9403645638376 10.608622552827, 77.9404701758176 10.6099749729037)"
8,62,,T,DC+0,22,63-62,157,3.98,FALSE,223.6307373,21°53'12''RT,10.60997497,77.94047018,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9404701758176 10.6099749729037, 77.9415658582001 10.6121677625924)"
9,61,,T,DB+0,22,62-61,278,3.56,FALSE,220.0258789,10°44'31''RT,10.61216776,77.94156586,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9415658582001 10.6121677625924, 77.9426239058375 10.6135544646531)"
10,60,,T,DC+0,22,61-60,199,2.65,FALSE,218.8240967,29°10'39''LT,10.61355446,77.94262391,Good,Good,"22KV,2-LT",THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9426239058375 10.6135544646531, 77.9429754428565 10.6160706281661)"
11,59,,T,DB+0,22,60-59,289,2.78,FALSE,221.4677734,14°27'48''RT,10.61607063,77.94297544,Good,Good,"22KV,LT",THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9429754428565 10.6160706281661, 77.9439226817339 10.6183517631143)"
12,58,,S,DA+0,24,59-58,280,0.91,FALSE,218.8240967,,10.61835176,77.94392268,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9439226817339 10.6183517631143, 77.9446970019489 10.6201694626361)"
13,57,,S,DA+0,24,58-57,226,1.89,FALSE,218.8240967,,10.62016946,77.944697,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9446970019489 10.6201694626361, 77.9453876707702 10.6218437477946)"
14,56,,S,DA+0,24,57-56,207,1.56,FALSE,221.9484863,,10.62184375,77.94538767,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9453876707702 10.6218437477946, 77.946074064821 10.6234265863895)"
15,55,,T,DD+0,24,56-55,198,1.68,FALSE,222.4290771,31°4'3''RT,10.62342659,77.94607406,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.946074064821 10.6234265863895, 77.9481448978185 10.6248993705958)"
16,54,,T,DD+0,24,55-54,286,3.89,FALSE,227.4759521,36°50'12''LT,10.62489937,77.9481449,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9481448978185 10.6248993705958, 77.9488182161003 10.6270183157175)"
17,53,2W,T,DB+0,22,54-53,253,3.99,FALSE,221.2275391,3°36'18''RT,10.62701832,77.94881822,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9488182161003 10.6270183157175, 77.9497838113456 10.6294995266944)"
18,52,,S,DA+0,24,53-52,302,4.15,FALSE,217.1418457,,10.62949953,77.94978381,Good,Good,LT,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9497838113456 10.6294995266944, 77.9506446328014 10.6317737884819)"
19,51,,S,DA+0,24,52-51,276,4.85,FALSE,219.7854004,,10.63177379,77.95064463,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9506446328014 10.6317737884819, 77.9512956552207 10.6335037294775)"
20,50,,T,DB+0,22,51-50,212,6.12,FALSE,216.6611328,9°3'59''RT,10.63350373,77.95129566,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9512956552207 10.6335037294775, 77.9526463150978 10.6358666718006)"
21,49,,T,DC+0,22,50-49,308,8.25,FALSE,221.2275391,17°54'17''LT,10.63586667,77.95264632,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9526463150978 10.6358666718006, 77.9530667513608 10.6378961820155)"
22,48,,S,DA+0,24,49-48,237,2.36,FALSE,221.7081299,,10.63789618,77.95306675,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9530667513608 10.6378961820155, 77.9534353874623 10.6395937688648)"
23,47,,T,DC+0,22,48-47,200,6.45,FALSE,223.1501465,17°41'12''RT,10.63959377,77.95343539,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9534353874623 10.6395937688648, 77.9532622173428 10.6419320683926)"
24,46,,S,DA+0,24,47-46,267,2.87,FALSE,210.6529541,,10.64193207,77.95326222,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9532622173428 10.6419320683926, 77.9531401768326 10.6439623329788)"
25,45,,S,DA+0,24,46-45,233,2.12,FALSE,211.133667,,10.64396233,77.95314018,Good,Good,,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9531401768326 10.6439623329788, 77.9529974330216 10.646219747141)"
26,44,,T,DC+0,22,45-44,258,5.26,FALSE,212.815918,26°54'52''LT,10.64621975,77.95299743,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9529974330216 10.646219747141, 77.9517513792961 10.6483127921819)"
27,43,,S,DA+0,24,44-43,276,4.63,FALSE,210.8933105,,10.64831279,77.95175138,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9517513792961 10.6483127921819, 77.9506894759833 10.6500971317291)"
28,42,,S,DA+0,24,43-42,236,3.54,FALSE,205.1254883,,10.65009713,77.95068948,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9506894759833 10.6500971317291, 77.9493504669517 10.6522690504789)"
29,41,,S,DA+0,24,42-41,289,2.15,FALSE,210.8933105,,10.65226905,77.94935047,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9493504669517 10.6522690504789, 77.948032496497 10.6544401310384)"
30,40,2W,T,DC+0,22,41-40,288,1.15,FALSE,213.5369873,17°30'17''LT,10.65444013,77.9480325,Good,Good,,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.948032496497 10.6544401310384, 77.9460433870553 10.6561815552413)"
31,39,,S,DA+0,24,40-39,298,2.68,FALSE,212.5755615,,10.65618156,77.94604339,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9460433870553 10.6561815552413, 77.9439878091216 10.6580275017768)"
32,38,,S,DA+0,24,39-38,311,2.48,FALSE,201.0397949,,10.6580275,77.94398781,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9439878091216 10.6580275017768, 77.9420213308185 10.659751240164)"
33,37,,T,DB+0,22,38-37,294,2.57,FALSE,208.7303467,9°45'16''LT,10.65975124,77.94202133,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9420213308185 10.659751240164, 77.9401260986924 10.6609132234007)"
34,36,,S,DA+0,24,37-36,251,6.36,FALSE,208.0093994,,10.66091322,77.9401261,Good,Good,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9401260986924 10.6609132234007, 77.9384690802544 10.6619568541646)"
35,35,,S,DA+0,24,36-35,222,3.49,FALSE,205.8465576,,10.66195685,77.93846908,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9384690802544 10.6619568541646, 77.9368865769356 10.6629192642867)"
36,34,,S,DA+0,24,35-34,210,4.56,FALSE,209.451416,,10.66291926,77.93688658,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9368865769356 10.6629192642867, 77.9351680353283 10.6639673374593)"
37,33,,T,DD+0,24,34-33,228,5.64,FALSE,213.0562744,34°42'40''LT,10.66396734,77.93516804,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9351680353283 10.6639673374593, 77.9341803118586 10.6639152020215)"
38,32,,T,DB+0,22,33-32,115,4.65,FALSE,214.9788818,12°54'44''RT,10.6639152,77.93418031,Good,Good,,NH-7 SALEM-DINDUKAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9341803118586 10.6639152020215, 77.9323543980717 10.6642290204763)"
39,31,,T,DD+0,24,32-31,209,5.89,FALSE,214.7385254,48°27'8''RT,10.66422902,77.9323544,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9323543980717 10.6642290204763, 77.9312657564878 10.6659731268882)"
40,30,,T,DB+0,22,31-30,234,5.87,FALSE,218.3433838,11°23'10''RT,10.66597313,77.93126576,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9312657564878 10.6659731268882, 77.9306185897439 10.6677031517028)"
41,29,2W,T,DD+0,24,30-29,211,5.36,FALSE,216.4207764,56°9'2''LT,10.66770315,77.93061859,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9306185897439 10.6677031517028, 77.9278424195945 10.6683646515011)"
42,28,,S,DA+0,24,29-28,319,2.36,FALSE,215.9401855,,10.66836465,77.92784242,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9278424195945 10.6683646515011, 77.9253327939659 10.6689788773655)"
43,27,,S,DA+0,24,28-27,289,3.87,FALSE,213.2966309,,10.66897888,77.92533279,Good,Good,,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9253327939659 10.6689788773655, 77.9237455129623 10.6693901773542)"
44,26,,S,DA+0,24,27-26,186,4.26,FALSE,216.180542,,10.66939018,77.92374551,Good,Good,"LT,22KV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9237455129623 10.6693901773542, 77.9216368775814 10.6699082627892)"
45,25,,T,DD+0,24,26-25,244,1.98,FALSE,223.3903809,56°29'3''RT,10.66990826,77.92163688,Good,Good,,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9216368775814 10.6699082627892, 77.9210646450519 10.6715007405728)"
