S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle
Degrees",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KOSAVAPATTY,2W,T,,BAY,12,,,NIL,,336.8250732,,10.29083351,78.06153394,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0615339428186 10.2908335067331, 78.0615041870623 10.2907181717455)"
2,8,,T,KCR,DD+0,24,GANTRY KOSAVAPATTY-8,18,3.61,FALSE,337.5460205,36°42'48''RT,10.29071817,78.06150419,Good,Good,,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0615041870623 10.2907181717455, 78.0596814583987 10.2892587985843)"
3,7,,T,KCR,DC+0,22,08-Jul,262,2.89,FALSE,335.1428223,16°16'10''RT,10.2892588,78.05968146,Good,Good,,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0596814583987 10.2892587985843, 78.0585795734077 10.2888026554137)"
4,6,,T,KCR,DD+6,30,07-Jun,135,4.68,FALSE,335.8637695,32°39'11''LT,10.28880266,78.05857957,Good,Good,22KV,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0585795734077 10.2888026554137, 78.0578258726745 10.2877231501042)"
5,5,,T,KCR,DB+6,28,06-May,150,6.21,FALSE,338.7476807,12°51'23''RT,10.28772315,78.05782587,Good,Good,,DIN-NATHAM NH,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0578258726745 10.2877231501042, 78.0572279915213 10.2871809247881)"
6,4,,T,KCR,DB+6,28,05-Apr,93,2.16,FALSE,339.2283936,4°50'39''LT,10.28718092,78.05722799,Good,Good,22KV,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0572279915213 10.2871809247881, 78.0562555231153 10.2861362881958)"
7,3,,T,KCR,DB+0,22,04-Mar,162,3.33,FALSE,338.5074463,15°14'16''LT,10.28613629,78.05625552,Good,Good,,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0562555231153 10.2861362881958, 78.0553806200623 10.2844672836363)"
8,2,,T,KCR,DB+0,22,03-Feb,213,3.98,FALSE,345.7171631,2°45'56''LT,10.28446728,78.05538062,Good,Good,LT,,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0553806200623 10.2844672836363, 78.054571012035 10.2828710339963)"
9,1 LILO KOSAVAPATTY,3W,T,KCR,DD+0,24,2-1 LILO KOSAVAPATTY,203,1.9,FALSE,344.2752686,79°14'2''RT,10.28287103,78.05457101,Good,Good,LT,CAR TRACK,Plain,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.054571012035 10.2828710339963, 78.0553933605551 10.2819695603102)"
10,41,,S,PA,A+0,24,1 LILO KOSAVAPATTY-41,139,2.64,FALSE,351.244751,,10.28196956,78.05539336,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0553933605551 10.2819695603102, 78.0570240598171 10.2801967039704)"
11,42,,S,PA,A+0,24,41-42,270,4.26,FALSE,346.9188232,,10.2801967,78.05702406,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0570240598171 10.2801967039704, 78.0588272586464 10.2783511765301)"
12,43,,T,PB,B+0,22,42-43,289,2.93,FALSE,352.2060547,15°13'60''LT,10.27835118,78.05882726,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0588272586464 10.2783511765301, 78.0608047172427 10.2771879360079)"
13,44,,S,PA,A+0,24,43-44,257,3.12,FALSE,347.880127,,10.27718794,78.06080472,Good,Good,LT,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0608047172427 10.2771879360079, 78.0624904017895 10.2762945089489)"
14,45,,S,PA,A+0,24,44-45,214,3.86,FALSE,351.9658203,,10.27629451,78.0624904,Good,Good,"LT,22KV",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0624904017895 10.2762945089489, 78.0642219353467 10.2752988226711)"
15,46,,T,PB,B+0,22,45-46,228,1.9,FALSE,346.9188232,11°32'38''LT,10.27529882,78.06422194,Good,Good,3-LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0642219353467 10.2752988226711, 78.0662920139729 10.2746089920401)"
16,47,,S,PA,A+0,24,46-47,248,1.88,FALSE,341.8719482,,10.27460899,78.06629201,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0662920139729 10.2746089920401, 78.0680947937071 10.2739568799734)"
17,48,,S,PA,A+0,24,47-48,219,2.16,FALSE,347.1590576,,10.27395688,78.06809479,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0680947937071 10.2739568799734, 78.0706306546926 10.2730703260749)"
18,49,,S,PA,A+0,24,48-49,303,3.12,FALSE,344.0349121,,10.27307033,78.07063065,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0706306546926 10.2730703260749, 78.0730428826063 10.272246049717)"
19,50,2W,T,PB,B+0,22,49-50,288,3.88,FALSE,335.8637695,0°30'26''LT,10.27224605,78.07304288,Good,Good,,ODAI,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0730428826063 10.272246049717, 78.0758268479257 10.2713219448924)"
20,51,,S,PA,A+0,24,50-51,330,1.9,FALSE,342.3526611,,10.27132194,78.07582685,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0758268479257 10.2713219448924, 78.0787882581353 10.2703529130667)"
21,52,,S,PA,A+0,24,51-52,350,2.1,FALSE,348.1206055,,10.27035291,78.07878826,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0787882581353 10.2703529130667, 78.0813055112957 10.269515896216)"
22,53,,S,PA,A+0,24,52-53,299,2.93,FALSE,345.4768066,,10.2695159,78.08130551,Good,Good,LT,ODAI,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0813055112957 10.269515896216, 78.0838805157691 10.2686765324324)"
23,54,,S,PA,A+0,24,53-54,305,2.86,FALSE,357.0125732,,10.26867653,78.08388052,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0838805157691 10.2686765324324, 78.0862171389162 10.2678654156625)"
24,55,,S,PA,A+0,24,54-55,280,3.16,FALSE,349.8028564,,10.26786542,78.08621714,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0862171389162 10.2678654156625, 78.0888042971491 10.2670817077159)"
25,56,,S,PA,A+0,24,55-56,305,3.84,FALSE,341.151001,,10.26708171,78.0888043,Good,Good,,THAR ROAD,AGRI,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0888042971491 10.2670817077159, 78.0912495497614 10.2662022784352)"
26,57,,T,PB,B+0,22,56-57,293,3.21,FALSE,343.3138428,1°27'35''LT,10.26620228,78.09124955,Good,Good,,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0912495497614 10.2662022784352, 78.0932403355836 10.2655426226556)"
27,58,,S,PA,A+0,24,57-58,238,4.36,FALSE,343.3138428,,10.26554262,78.09324034,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0932403355836 10.2655426226556, 78.0949038080871 10.2649937756359)"
