SL.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,Melapalayam,2W,Melapalayam,,,,,,,,8.68885021,77.71359712,,,,,Melapalayam ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71359711653433 8.688850209869164, 77.71370843257561 8.688448518725123)"
1,1,,T,"39°42'04""RT",KC,24,Gantry (Melapalayam) - T1,55,2.78,51,8.688448519,77.71370843,AVAILABLE,"11KV LINE,LT LINE-2NOS",ROAD,PLIAN LAND,"Dc line,Road, 11kv line, lt line, lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71370843257561 8.688448518725123, 77.71268751801288 8.686197145592793)"
2,2,,T,"16°28'43""LT",HCR+3,24.943,T1-T2,273.3702919,2.48,49,8.686197146,77.71268752,AVAILABLE,LT LINE-2NOS,,PLIAN LAND,"Dc line, plain land, Lt  line-2nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71268751801288 8.686197145592793, 77.71242599939336 8.684299050211646)"
3,3,,T,"16°43'59""RT",HCR,21.943,T2-T3,212.0423625,2.78,52,8.68429905,77.712426,AVAILABLE,LT LINE,CART TRACK,PLIAN LAND,"Dc line,plain land, lt line, cart track ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71242599939336 8.684299050211646, 77.71146308791315 8.682200441185625)"
4,4,,T,"03°08'00""RT",KCR,21.943,T3-T4,255.3342471,2.44,54,8.682200441,77.71146309,AVAILABLE,,,PLIAN LAND,"Dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71146308791315 8.682200441185625, 77.71056722437892 8.680500545383698)"
5,5,,T,"15°17'04""RT",HCR,21.943,T4-T5,212.4422115,2.56,52,8.680500545,77.71056722,AVAILABLE,,,PLIAN LAND,"Dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71056722437892 8.680500545383698, 77.708817759161 8.678630955528114)"
6,6,,T,"06°50'40""LT",HCR,21.943,T5-T6,282.7361434,2.63,50,8.678630956,77.70881776,AVAILABLE,,,PLIAN LAND,"Dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.708817759161 8.678630955528114, 77.7076462996658 8.677033133660567)"
7,7,,T,"23°04'17""RT",HCR,21.943,T6-T7,218.9038148,2.7,50,8.677033134,77.7076463,AVAILABLE,,,PLIAN LAND,"Dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7076462996658 8.677033133660567, 77.70616102763408 8.676151545908972)"
8,8,,T,"34°00'07""RT",KCR,24,T7-T8,210,2.36,51,8.676151546,77.70616103,AVAILABLE,,,PLIAN LAND,"Dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70616102763408 8.676151545908972, 77.70380236067747 8.676282192348355)"
9,9,,T,"82°13'57""LT",KC,24,T8-T9,260.1633436,2.58,48,8.676282192,77.70380236,AVAILABLE,LT LINE,ROAD,PLIAN LAND,"Dc line,lt line, Road ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70380236067747 8.676282192348355, 77.70343523115616 8.674394322089322)"
