S. No ,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 230KV ANUPANKULAM  ,2W,GANTRY,GANTRY,20,,,,106,,9.42027896,77.82583593,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82583593 9.42027896, 77.82586542 9.42054976)"
2,T.NO-01,,DD,T,28,GANTRY-1,30.14962686,3.91,106,"74°48'18.09""",9.42054976,77.82586542,GOOD,MISSING,YES,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82586542 9.42054976, 77.82375221 9.42137077)"
3,T.NO-02,,DB,T,24,01-Feb,249.4193256,1.93,100,"0°55'20.87""",9.42137077,77.82375221,GOOD,GOOD,NO,,MUDOAD,PLAIN LAND,2 EARTH WIRE ON THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82375221 9.42137077, 77.82145725 9.42222033)"
4,T.NO-03,,DA,S,26,02-Mar,269.2080979,2.41,96,,9.42222033,77.82145725,GOOD,GOOD,NO,2nos LT,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82145725 9.42222033, 77.81956191 9.42298536)"
5,T.NO-04,,DD,T,28,03-Apr,224.8777446,3.16,98,"42°5'48.87""",9.42298536,77.81956191,GOOD,GOOD,NO,LT,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81956191 9.42298536, 77.8183001 9.42557932)"
6,T.NO-05,,DB,T,24,04-May,318.8683114,3.85,97,"12°22'45.12""",9.42557932,77.8183001,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8183001 9.42557932, 77.81694018 9.42729772)"
7,T.NO-06,,DA,S,26,05-Jun,241.9132076,3.11,96,,9.42729772,77.81694018,GOOD,MISSING,NO,,NALA,PLAIN LAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81694018 9.42729772, 77.81534598 9.42929806)"
8,T.NO-07,,DD,T,28,06-Jul,282.3632412,3.72,96,"50°43'11.51""",9.42929806,77.81534598,GOOD,MISSING,NO,LT,NALA,PLAIN LAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81534598 9.42929806, 77.81578994 9.43130919)"
9,T.NO-08,,DB,T,24,07-Aug,227.8991005,2.18,98,"6°9'49.31""",9.43130919,77.81578994,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81578994 9.43130919, 77.81649847 9.43340855)"
10,T.NO-09,,DB,T,24,08-Sep,245.0816191,4.01,100,"12°26'30.42""",9.43340855,77.81649847,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81649847 9.43340855, 77.81780809 9.43557537)"
