S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (L.Valayapatty SS),2W,Gantry,H-POLE,12,,,,,294.723877,,10.14402778,78.19733333,GOOD,,,,SS,Lamp Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19733333333333 10.144027777777778, 78.19736111111112 10.144194444444445)"
2,27/55,,T,DC,26,Gantry - 27/55,20,0.3,FALSE,294.820801,"71°31'48""L",10.14419444,78.19736111,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19736111111112 10.144194444444445, 78.19769444444445 10.144277777777777)"
3,27/54,,T,DB,25,27/51-27/50,38,0.16,FALSE,295.9758,"21°28'12""R",10.14427778,78.19769444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19769444444445 10.144277777777777, 78.19922222222223 10.145388888888888)"
4,27/53,,S,DA,26,27/50-27/49,209,0.42,FALSE,299.325348,,10.14538889,78.19922222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19922222222223 10.145388888888888, 78.20072222222223 10.146472222222222)"
5,27/52,,T,DB,25,27/49-27/48,205,0.67,FALSE,302.634064,"7°31'48""R",10.14647222,78.20072222,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20072222222223 10.146472222222222, 78.20216666666667 10.14786111111111)"
6,27/51,,T,DC,26,27/48-27/47,219,1.01,FALSE,306.543457,"56°13'12""L",10.14786111,78.20216667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20216666666667 10.14786111111111, 78.20269444444445 10.14775)"
7,27/50,,T,H-POLE,12,27/47-27/46,59,2.55,FALSE,307.912689,,10.14775,78.20269444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20269444444445 10.14775, 78.20308333333334 10.147694444444443)"
8,27/49,,T,H-POLE,12,27/46-27/45,42,0.71,FALSE,308.896332,,10.14769444,78.20308333,GOOD,NO E/W,230 KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20308333333334 10.147694444444443, 78.20366666666666 10.147638888888888)"
9,27/48,2W,T,DB,25,27/45-27/44,66,3.8,FALSE,310.838196,"2°1'12""L",10.14763889,78.20366667,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20366666666666 10.147638888888888, 78.20608333333334 10.147305555555555)"
10,27/47,,S,DA,26,27/44-27/43,269,0.33,FALSE,314.991699,,10.14730556,78.20608333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20608333333334 10.147305555555555, 78.20858333333334 10.146944444444443)"
11,27/46,,T,DB,25,27/43-27/42,276,0.25,FALSE,317.513214,"3°25'48""L",10.14694444,78.20858333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20858333333334 10.146944444444443, 78.2111388888889 10.146416666666665)"
12,27/45,,S,DA,26,27/42-27/41,287,1.65,FALSE,321.164917,,10.14641667,78.21113889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2111388888889 10.146416666666665, 78.21377777777778 10.145888888888889)"
13,27/44,,T,DB,25,27/41-27/40,293,0.23,FALSE,325.743713,"12°32'24""R",10.14588889,78.21377778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21377777777778 10.145888888888889, 78.21627777777778 10.145916666666666)"
14,27/43,,T,DB,25,27/40-27/39,276,2.07,FALSE,329.541718,"9°46'48""R",10.14591667,78.21627778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21627777777778 10.145916666666666, 78.21833333333333 10.146305555555555)"
15,27/42,,T,DB,25,27/39-27/38,229,2.67,FALSE,325.396942,"1°57'0""R",10.14630556,78.21833333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21833333333333 10.146305555555555, 78.22052777777778 10.146777777777777)"
16,27/41,,T,DB,25,27/38-27/37,246,0.65,FALSE,324.882416,"14°38'60""R",10.14677778,78.22052778,GOOD,Available,"LT,HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22052777777778 10.146777777777777, 78.22244444444445 10.14775)"
17,27/40,,S,DA,26,27/37-27/36,236,0.39,FALSE,327.951416,,10.14775,78.22244444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22244444444445 10.14775, 78.22430555555556 10.14861111111111)"
18,27/39,,T,DB,25,27/36-27/35,226,1.05,FALSE,322.178497,"8°29'24""L",10.14861111,78.22430556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22430555555556 10.14861111111111, 78.22575 10.149111111111111)"
19,27/38,,T,DB,25,27/35-27/34,171,0.9,FALSE,324.479279,"17°55'12""R",10.14911111,78.22575,GOOD,Available,"LT,HT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22575 10.149111111111111, 78.22747222222222 10.150361111111112)"
20,27/37,,T,DB,25,27/34-27/33,232,1.75,FALSE,322.779938,"12°52'48""L",10.15036111,78.22747222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22747222222222 10.150361111111112, 78.2291388888889 10.151083333333334)"
21,27/36,,S,DA,26,27/33-27/32,199,0.46,FALSE,322.947571,,10.15108333,78.22913889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2291388888889 10.151083333333334, 78.23138888888889 10.152000000000001)"
22,27/35,,T,DB,25,27/32-27/31,266,0.7,FALSE,320.359863,"6°39'36""L",10.152,78.23138889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23138888888889 10.152000000000001, 78.23380555555556 10.152666666666667)"
23,27/34,,T,DB,25,27/31-27/30,274,0.63,FALSE,320.023926,"15°18'36""L",10.15266667,78.23380556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23380555555556 10.152666666666667, 78.23611111111111 10.152694444444444)"
24,27/33,,S,DA,26,27/30-27/29,256,1.71,FALSE,315.546844,,10.15269444,78.23611111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23611111111111 10.152694444444444, 78.23861111111111 10.152777777777779)"
25,27/32,,T,DC,26,27/29-27/28,275,0.99,FALSE,315.583008,"51°58'48""R",10.15277778,78.23861111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23861111111111 10.152777777777779, 78.24022222222223 10.154944444444444)"
26,27/31,2W,T,DC,26,27/28-27/27,297,1.05,FALSE,313.066498,"36°28'12""L",10.15494444,78.24022222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24022222222223 10.154944444444444, 78.24283333333334 10.155750000000001)"
27,27/30,,S,DA,25,27/27-27/26,301,0.67,FALSE,303.434631,,10.15575,78.24283333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24283333333334 10.155750000000001, 78.24522222222222 10.156416666666667)"
28,27/29,,T,DB,25,27/26-27/25,271,0.43,FALSE,298.110474,"1°40'12""L",10.15641667,78.24522222,GOOD,Available,"LT,HT",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24522222222222 10.156416666666667, 78.24766666666667 10.157083333333334)"
29,27/28,,T,DB,25,27/25-27/24,281,0.9,FALSE,294.902374,"1°31'48""L",10.15708333,78.24766667,GOOD,Available,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24766666666667 10.157083333333334, 78.24980555555555 10.157583333333333)"
30,27/27,,T,DB,25,27/24-27/23,241,3.05,FALSE,296.029358,"15°49'12""R",10.15758333,78.24980556,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24980555555555 10.157583333333333, 78.25216666666667 10.158888888888889)"
31,27/26,,T,DC,26,27/23-27/22,297,1.07,FALSE,294.88269,"46°15'0""R",10.15888889,78.25216667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25216666666667 10.158888888888889, 78.25286111111112 10.161444444444445)"
32,27/25,,T,DB,25,27/22-27/21,298,2.01,FALSE,300.785919,"0°55'48""R",10.16144444,78.25286111,GOOD,Available,"2-LT,HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25286111111112 10.161444444444445, 78.2535 10.164)"
33,27/24,,T,DB,25,27/21-27/20,290,1.33,FALSE,286.969666,"22°46'12""L",10.164,78.2535,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2535 10.164, 78.255 10.166027777777778)"
34,27/23,,T,DB,25,27/20-27/19,280,0.76,FALSE,283.708466,"3°21'36""L",10.16602778,78.255,GOOD,Available,"LT,HT",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.255 10.166027777777778, 78.25655555555555 10.167833333333332)"
35,27/22,,S,DA,26,27/19-27/18,266,0.47,FALSE,281.523438,,10.16783333,78.25655556,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25655555555555 10.167833333333332, 78.25836111111111 10.169888888888888)"
36,27/21,,T,DB,25,27/18-27/17,301.0586828,0.77,FALSE,281.017853,"27°33'0""L",10.16988889,78.25836111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25836111111111 10.169888888888888, 78.26055555555556 10.170722222222222)"
