S. No ,Tower No,Supspension/Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
105,101,S,DA+0,26,100-101,312,5.2,305.901581,,9.97328,77.7048,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7048 9.97328, 77.7068 9.97149)"
106,102,S,DA+0,26,101-102,291,0.36,300.536345999999,,9.97149,77.7068,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7068 9.97149, 77.7088 9.96962)"
107,103,S,DA+0,26,102-103,301,1.87,294.686279,,9.96962,77.7088,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7088 9.96962, 77.7107 9.96783)"
108,104,T,DD+0,28,103-104,290,1.03,291.810210999999,36°8'17''LT,9.96783,77.7107,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7107 9.96783, 77.7125 9.96761)"
109,105,S,DA+0,26,104-105,197,0.58,287.065520999999,,9.96761,77.7125,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7125 9.96761, 77.715 9.96728)"
110,106,S,DA+0,26,105-106,277,0.22,282.969574,,9.96728,77.715,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.715 9.96728, 77.7182 9.96687)"
111,107,S,DA+0,26,106-107,362,2.82,278.209564,,9.96687,77.7182,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7182 9.96687, 77.7211 9.96648)"
112,108,S,DB+0,26,107-108,317,1.56,274.791168,,9.96648,77.7211,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7211 9.96648, 77.7241 9.96609)"
113,109,S,DA+0,26,108-109,339,2.09,271.372893999999,,9.96609,77.7241,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7241 9.96609, 77.727 9.96572)"
114,110,S,DA+0,26,109-110,321,2.98,268.473754999999,,9.96572,77.727,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.727 9.96572, 77.7299 9.96535)"
115,111,S,DA+0,26,110-111,320,1.02,266.74292,,9.96535,77.7299,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7299 9.96535, 77.7329 9.96496)"
116,112,S,DA+0,26,111-112,325,5.56,265.907104,,9.96496,77.7329,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7329 9.96496, 77.7358 9.96458)"
117,113,S,DA+0,26,112-113,323,2.98,262.460815,,9.96458,77.7358,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7358 9.96458, 77.7387 9.9642)"
118,114,S,DA+0,26,113-114,328,0.2,259.793792999999,,9.9642,77.7387,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7387 9.9642, 77.7417 9.9638)"
119,115,S,DA+0,26,114-115,332,2.56,258.622253,,9.9638,77.7417,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7417 9.9638, 77.7446 9.96344)"
120,116,S,DA+0,26,115-116,319,2.72,254.882003999999,,9.96344,77.7446,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7446 9.96344, 77.7475 9.96307)"
121,117,T,DB+0,26,116-117,320,1.22,251.667023,,9.96307,77.7475,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7475 9.96307, 77.7504 9.9627)"
122,118,S,DA+0,26,117-118,319,1.92,250.077193999999,,9.9627,77.7504,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7504 9.9627, 77.7533 9.96233)"
123,119,S,DA+0,26,118-119,323,1.89,244.550963999999,,9.96233,77.7533,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7533 9.96233, 77.7561 9.96194)"
124,120,S,DA+0,26,119-120,306,1.63,242.09761,,9.96194,77.7561,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7561 9.96194, 77.7591 9.96157)"
125,121,S,DA+0,26,120-121,335,8.16,240.499878,,9.96157,77.7591,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7591 9.96157, 77.7618 9.9612)"
126,122,S,DA+0,26,121-122,304,1.07,245.801605,,9.9612,77.7618,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7618 9.9612, 77.7648 9.96082)"
127,123,S,DA+0,26,122-123,324,0.71,241.950958,,9.96082,77.7648,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7648 9.96082, 77.7671 9.96051)"
128,124,S,DA+0,26,123-124,261,0.96,239.234862999999,,9.96051,77.7671,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7671 9.96051, 77.7696 9.96019)"
129,125,S,DA+0,26,124-125,275,3.28,232.540436,,9.96019,77.7696,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7696 9.96019, 77.7723 9.95985)"
130,126,T,DB+0,28,125-126,299,5.27,226.7957,8°14'41''RT,9.95985,77.7723,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7723 9.95985, 77.7745 9.95956)"
131,127,T,DC+0,28,126-127,247,6.15,227.215103,13°34'47''RT,9.95956,77.7745,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7745 9.95956, 77.7773 9.95851)"
132,128,S,DA+0,26,127-128,324,1.45,229.522751,,9.95851,77.7773,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7773 9.95851, 77.7801 9.95747)"
133,129,S,DA+0,26,128-129,328,2.37,226.312668,,9.95747,77.7801,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7801 9.95747, 77.7826 9.95651)"
134,130,S,DA+0,26,129-130,303,2.04,224.414963,,9.95651,77.7826,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7826 9.95651, 77.7853 9.9555)"
135,131,S,DA+0,26,130-131,314,1.5,218.999435,,9.9555,77.7853,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7853 9.9555, 77.7882 9.95441)"
136,132,T,DB+0,28,131-132,339,0.35,217.181641,7°11'14''RT,9.95441,77.7882,GOOD,AVAILABLE,"11KV, LT",SH highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7882 9.95441, 77.7909 9.95338)"
137,133,S,DA+0,26,132-133,322,1.84,213.835219999999,,9.95338,77.7909,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7909 9.95338, 77.7936 9.95236)"
138,134,T,DB+0,28,133-134,319,0.96,212.001479999999,5°2'14''RT,9.95236,77.7936,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7936 9.95236, 77.7965 9.9513)"
139,135 LILO USILAMPATTY & ELUMALAI,T,DA+0,26,134-135(LILO USILAMPATTY & ELUMALAI),332,4.65,209.701888999999,0°6'28''LT,9.9513,77.7965,GOOD,AVAILABLE,,,Plain,COMMON TOWER LILO AT USILAMPATTI & ELUMALAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7965 9.9513, 77.7991 9.95031)"
140,135A,S,DA+0,26,135(LILO USILAMPATTY & ELUMALAI)-135A,311,1.15,206.639938,,9.95031,77.7991,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7991 9.95031, 77.8019 9.94929)"
141,136,T,DC+0,28,135A-136,324,0.34,204.592896,0°15'35''RT,9.94929,77.8019,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8019 9.94929, 77.8047 9.94824)"
142,137,S,DA+0,26,136-137,329,2.46,202.537658999999,,9.94824,77.8047,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8047 9.94824, 77.8075 9.94717)"
143,138,S,DA+0,26,137-138,329,7.58,200.802826,,9.94717,77.8075,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8075 9.94717, 77.8097 9.94634)"
144,139,S,DA+0,26,138-139,260,0.6,197.844878999999,,9.94634,77.8097,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8097 9.94634, 77.8111 9.9458)"
145,140,S,DA+0,26,139-140,173,0.6,198.668410999999,,9.9458,77.8111,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8111 9.9458, 77.8128 9.94517)"
146,141,S,DA+0,26,140-141,193,1.21,198.07753,,9.94517,77.8128,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8128 9.94517, 77.8153 9.94425)"
147,142 LILO MONDIKUNDU,T,DC+0,28,141-142(LILO MONDIKUNDU ),290,0.74,194.901917,16°46'21''LT,9.94425,77.8153,GOOD,AVAILABLE,,,Plain,COMMON TOWER LILO MONDIKUNDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8153 9.94425, 77.8182 9.94406)"
148,143,T,DA+0,26,142(LILO MONDIKUNDU )-143,324,0.23,196.087143,0°14'45''LT,9.94406,77.8182,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8182 9.94406, 77.8209 9.94389)"
149,144,S,DA+0,26,143-144,302,0.56,198.603439,,9.94389,77.8209,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8209 9.94389, 77.8238 9.94371)"
150,145,S,DA+0,26,144-145,315,1.76,197.995040999999,,9.94371,77.8238,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8238 9.94371, 77.8261 9.94357)"
151,146,T,DB+0,28,145-146,251,4.54,198.33194,0°31'49''RT,9.94357,77.8261,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8261 9.94357, 77.8288 9.94337)"
152,147,T,DC+0,28,146-147,302,2.62,196.615341,18°27'7''RT,9.94337,77.8288,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8288 9.94337, 77.8301 9.94283)"
153,147A,T,DC+0,28,147-147A,156,0.76,194.4198,10°10'31''LT,9.94283,77.8301,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8301 9.94283, 77.8311 9.94243)"
154,148,T,DC+0,28,147A-148,116,0.36,193.76329,11°52'11''RT,9.94243,77.8311,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8311 9.94243, 77.8342 9.9411)"
155,149,S,DA+0,26,148-149,371,8.22,194.551987,,9.9411,77.8342,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8342 9.9411, 77.837 9.93993)"
156,150,T,DC+0,28,149-150,330,0.17,192.172576999999,13°0'11''LT,9.93993,77.837,GOOD,AVAILABLE,765KV CROSSING,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.837 9.93993, 77.8397 9.93877)"
157,151,S,DA+0,26,150-151,328,4.39,189,,9.93877,77.8397,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8397 9.93877, 77.8423 9.93767)"
158,152,S,DA+0,26,151-152,310,3.51,187.526642,,9.93767,77.8423,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8423 9.93767, 77.845 9.93649)"
159,153,S,DA+0,26,152-153,329,4.04,185.248322,,9.93649,77.845,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.845 9.93649, 77.8479 9.93529)"
160,154,T,DC+0,28,153-154,338,4.47,185.036392,12°40'36''LT,9.93529,77.8479,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8479 9.93529, 77.8506 9.93417)"
161,155,S,DA+0,26,154-155,321,4.13,188.056457999999,,9.93417,77.8506,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8506 9.93417, 77.8531 9.93308)"
162,156,S,DA+0,26,155-156,303,3.85,183.059386999999,,9.93308,77.8531,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8531 9.93308, 77.856 9.93184)"
163,157,T,DC+0,28,156-157,344,3.72,181.20755,11°0'57''LT,9.93184,77.856,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.856 9.93184, 77.8588 9.93069)"
164,158,S,DA+0,26,157-158,331,1.1,180.837296,,9.93069,77.8588,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8588 9.93069, 77.8614 9.92956)"
165,159,S,DA+0,26,158-159,314,3.48,180.016693,,9.92956,77.8614,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8614 9.92956, 77.8641 9.92842)"
166,160,S,DA+0,26,159-160,323,3.92,179.478989,,9.92842,77.8641,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8641 9.92842, 77.8668 9.92727)"
167,161,T,DB+0,28,160-161,326,3.18,178.034164,2°24'31''LT,9.92727,77.8668,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8668 9.92727, 77.8682 9.92674)"
,LILO VALUTHUR,T,DA+0,26,161-LILO VALUTHUR,167,,175.969542999999,5°46'54''RT,9.92674,77.8682,,,,,,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8682 9.92674, 77.8695 9.92611)"
168,162,T,DB+0,28,LILO VALUTHUR-162,158,2.63,176.471909,2°46'34''LT,9.92611,77.8695,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8695 9.92611, 77.872 9.92504)"
169,163,S,DA+0,26,162-163,298,9.45,175.069854999999,,9.92504,77.872,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.872 9.92504, 77.8743 9.92407)"
170,164,T,DB+0,28,163-164,277,1.34,176.954803,4°6'46''LT,9.92407,77.8743,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8743 9.92407, 77.8769 9.92321)"
171,165,S,DA+0,26,164-165,298,0.97,175.65477,,9.92321,77.8769,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8769 9.92321, 77.8797 9.92225)"
172,166,S,DA+0,26,165-166,331,15.2,171.021149,,9.92225,77.8797,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8797 9.92225, 77.8825 9.92132)"
173,167,T,DB+0,28,166-167,320,3.48,169.507445999999,3°12'40''LT,9.92132,77.8825,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8825 9.92132, 77.8851 9.92044)"
174,168,S,DA+0,26,167-168,302,2.36,168.518004999999,,9.92044,77.8851,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8851 9.92044, 77.8873 9.91968)"
175,169,S,DA+0,26,168-169,260,7.92,167.67569,,9.91968,77.8873,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8873 9.91968, 77.8905 9.91861)"
176,170,S,DA+0,26,169-170,370,1.97,166.106979,,9.91861,77.8905,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8905 9.91861, 77.893 9.91777)"
177,171,S,DA+0,26,170-171,288,11.83,164.334595,,9.91777,77.893,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.893 9.91777, 77.8958 9.91682)"
178,172,S,DA+0,26,171-172,325,3.09,164.195084,,9.91682,77.8958,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8958 9.91682, 77.8986 9.91587)"
179,173,T,DB+0,28,172-173,327,0.18,163.823151,7°22'48''LT,9.91587,77.8986,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8986 9.91587, 77.9013 9.91498)"
180,174,S,DA+0,26,173-174,312,5.26,163.219497999999,,9.91498,77.9013,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9013 9.91498, 77.9041 9.91404)"
181,175,S,DA+0,26,174-175,324,1.76,162.522674999999,,9.91404,77.9041,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9041 9.91404, 77.9068 9.91312)"
182,176,S,DA+0,26,175-176,319,1.21,162.576965,,9.91312,77.9068,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9068 9.91312, 77.9095 9.91219)"
183,177,T,DB+0,28,176-177,314,0.99,159.99646,9°11'60''LT,9.91219,77.9095,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9095 9.91219, 77.9123 9.91128)"
184,178,S,DA+0,26,177-178,315,1.15,159.839539,,9.91128,77.9123,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9123 9.91128, 77.915 9.91034)"
185,179,S,DA+0,26,178-179,321,1.12,158.674194,,9.91034,77.915,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.915 9.91034, 77.9178 9.90942)"
186,180,S,DA+0,26,179-180,321,3.06,156.345459,,9.90942,77.9178,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9178 9.90942, 77.9204 9.90853)"
187,181,S,DA+0,26,180-181,305,0.55,155.174499999999,,9.90853,77.9204,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9204 9.90853, 77.9229 9.90768)"
188,182,T,DC+0,28,181-182,290,2.28,155.109314,22°52'26''LT,9.90768,77.9229,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9229 9.90768, 77.9258 9.90788)"
189,183,S,DA+0,26,182-183,320,6.6,155.228821,,9.90788,77.9258,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9258 9.90788, 77.9286 9.9081)"
190,184,S,DA+0,26,183-184,307,6.04,156.130462999999,,9.9081,77.9286,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9286 9.9081, 77.9315 9.90832)"
191,185,S,DA+0,26,184-185,326,3.16,159.236771,,9.90832,77.9315,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9315 9.90832, 77.9344 9.90852)"
192,186,S,DA+0,26,185-186,311,7.76,158.870819,,9.90852,77.9344,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9344 9.90852, 77.9369 9.90872)"
193,187,T,DB+0,28,186-187,284,1.15,161.174988,10°6'32''RT,9.90872,77.9369,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9369 9.90872, 77.94 9.90894)"
194,188,S,DA+0,26,187-188,337,2.83,158.780869,,9.90894,77.94,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94 9.90894, 77.9417 9.90906)"
195,188A,S,DA+0,26,188-188A,186,1.56,159.976089,,9.90906,77.9417,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9417 9.90906, 77.9429 9.90915)"
196,189,S,DA+0,26,188A-189,138,0.96,161.460556,,9.90915,77.9429,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9429 9.90915, 77.9458 9.90938)"
197,190,T,DB+0,28,189-190,320,0.67,162.782089,3°22'46''RT,9.90938,77.9458,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9458 9.90938, 77.9488 9.90959)"
198,191,S,DA+0,26,190-191,322,0.1,170.413635,,9.90959,77.9488,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9488 9.90959, 77.9517 9.90981)"
199,192,S,DA+0,26,191-192,323,3.18,164.466553,,9.90981,77.9517,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9517 9.90981, 77.9546 9.91003)"
200,193,T,DB+0,28,192-193,321,0.37,165.528915,4°8'40''RT,9.91003,77.9546,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9546 9.91003, 77.9574 9.91023)"
201,194,S,DA+0,26,193-194,305,4.97,166.306686,,9.91023,77.9574,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9574 9.91023, 77.9596 9.91039)"
202,195,S,DA+0,26,194-195,246,0.48,167.071854,,9.91039,77.9596,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9596 9.91039, 77.9613 9.91052)"
203,195A,T,DB+0,28,195-195A,191,1.54,168.386444,5°10'49''LT,9.91052,77.9613,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9613 9.91052, 77.963 9.91065)"
204,196,T,DB+0,28,195A-196,184,4.78,171.323028999999,4°20'48''RT,9.91065,77.963,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.963 9.91065, 77.9655 9.91083)"
205,197,T,DB+0,28,196-197,270,4.32,176.927901999999,1°29'28''LT,9.91083,77.9655,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9655 9.91083, 77.9683 9.91111)"
206,198,T,DD+0,28,197-198,309,0.98,181.572998,79°29'13''LT,9.91111,77.9683,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G7:G213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
