S. No ,Tower No,Supspension/Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
26,23,S,DA+0,26,22-23,347,4.9,295.931518999999,,9.99198,77.521,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.521 9.99198, 77.5233 9.99384)"
27,24,S,DA+0,26,23-24,321,0.51,298.590912,,9.99384,77.5233,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5233 9.99384, 77.5255 9.9957)"
28,25,S,DA+0,26,24-25,320,4.2,298.526703,,9.9957,77.5255,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5255 9.9957, 77.5277 9.99756)"
29,26,S,DA+0,26,25-26,318,3.05,296.825072999999,,9.99756,77.5277,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5277 9.99756, 77.5286 9.99811)"
,LILO KANAVILAKKU,T,DA+0,26,26-LILO KANAVILAKKU,110,,295.429077,10°33'42''LT,9.99811,77.5286,,,,,,LILO AT KANAVILAKKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5286 9.99811, 77.5296 9.99916)"
30,27,T,DB+0,28,LILO KANAVILAKKU-27,167,3.7,297.492523,1°22'18''RT,9.99916,77.5296,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5296 9.99916, 77.5318 10.0011)"
31,28,T,DB+0,28,27-28,323,6.26,296.816131999999,2°31'13''LT,10.0011,77.5318,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5318 10.0011, 77.5334 10.0027)"
32,29,T,DB+0,28,28-29,245,0.89,291.727814,2°33'6''RT,10.0027,77.5334,GOOD,AVAILABLE,,RAILWAY CROSSING,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5334 10.0027, 77.5358 10.0048)"
33,30,S,DA+0,26,29-30,350,4.39,291.460631999999,,10.0048,77.5358,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5358 10.0048, 77.5378 10.0067)"
34,31,S,DA+0,26,30-31,304,2.4,296.110595999999,,10.0067,77.5378,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5378 10.0067, 77.5399 10.0087)"
35,32,S,DA+0,26,31-32,321,5.85,299.978271,,10.0087,77.5399,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5399 10.0087, 77.541 10.0097)"
36,32A,S,DA+0,26,32-32A,164,1.55,299.511199999999,,10.0097,77.541,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.541 10.0097, 77.5418 10.0105)"
37,33,S,DA+0,26,32A-33,128,0.3,303.653716999999,,10.0105,77.5418,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5418 10.0105, 77.544 10.0124)"
38,34,S,DA+0,26,33-34,323,3.47,300.058837999999,,10.0124,77.544,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.544 10.0124, 77.5462 10.0145)"
39,35,S,DA+0,26,34-35,329,0.22,295.826690999999,,10.0145,77.5462,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5462 10.0145, 77.5481 10.0162)"
40,36,T,DD+0,28,35-36,288,0.2,298.128662,44°43'18''RT,10.0162,77.5481,GOOD,AVAILABLE,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5481 10.0162, 77.5503 10.0162)"
41,37,S,DA+0,26,36-37,244,5.22,288.140380999999,,10.0162,77.5503,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5503 10.0162, 77.5533 10.016)"
42,38,S,DA+0,26,37-38,329,1.03,292.275726,,10.016,77.5533,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5533 10.016, 77.5564 10.016)"
43,39,S,DA+0,26,38-39,337,4.36,288.843109,,10.016,77.5564,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5564 10.016, 77.5587 10.0159)"
44,40,S,DA+0,26,39-40,253,2.78,294.021148999999,,10.0159,77.5587,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5587 10.0159, 77.5614 10.0158)"
45,41,S,DA+0,26,40-41,296,1.57,295.466309,,10.0158,77.5614,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5614 10.0158, 77.5643 10.0157)"
46,42,S,DA+0,26,41-42,323,5.45,292.892822,,10.0157,77.5643,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5643 10.0157, 77.5672 10.0156)"
47,43,S,DA+0,26,42-43,321,0.49,291.860718,,10.0156,77.5672,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5672 10.0156, 77.5701 10.0155)"
48,44,S,DA+0,26,43-44,319,1.76,290.867553999999,,10.0155,77.5701,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5701 10.0155, 77.5729 10.0154)"
49,45,S,DA+0,26,44-45,306,0.71,289.165344,,10.0154,77.5729,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5729 10.0154, 77.5757 10.0154)"
50,46,S,DA+0,26,45-46,306,8.7,288.616027999999,,10.0154,77.5757,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5757 10.0154, 77.5778 10.0153)"
51,47,S,DA+0,26,46-47,229,6.66,288.049651999999,,10.0153,77.5778,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5778 10.0153, 77.5805 10.0152)"
52,48,S,DA+0,26,47-48,296,4.27,288.482696999999,,10.0152,77.5805,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5805 10.0152, 77.5828 10.0151)"
53,49,S,DA+0,26,48-49,257,2.7,289.536773999999,,10.0151,77.5828,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5828 10.0151, 77.5852 10.0151)"
54,50,T,DB+0,28,49-50,259,1.56,289.16449,10°6'40''RT,10.0151,77.5852,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5852 10.0151, 77.5875 10.015)"
55,51,S,DA+0,26,50-51,261,1.62,291.052094,,10.015,77.5875,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5875 10.015, 77.5899 10.0149)"
