S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Karakudi SS),,Gantry,H-POLE,12,,,,,103.993904,,10.07897222,78.73483333,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73483333333333 10.078972222222221, 78.73497222222223 10.079305555555555)"
2,1,2W,T,DC,26,Gantry- 01,40.1411356,1.04,0,110.693222,"58°1'48""L",10.07930556,78.73497222,GOOD,Available,,,Plain,Common tower for 110kV Karakudi - K. Thirupathur link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73497222222223 10.079305555555555, 78.73516666666667 10.079333333333333)"
3, 01A,,T,SC,22, 01- 01A,21.60607148,0.32,0,109.337822,"66°43'12""R",10.07933333,78.73516667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73516666666667 10.079333333333333, 78.73530555555556 10.08)"
4,2,,S,SA+3,27, 01A- 02,75.17017387,0.92,FALSE,110.01136,,10.08,78.73530556,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73530555555556 10.08, 78.73561111111111 10.081777777777777)"
5,3,,T,SB,21, 02- 03,200.2719197,1.5,FALSE,107.014,"31°7'48""R",10.08177778,78.73561111,GOOD,Available,2-33KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73561111111111 10.081777777777777, 78.7355 10.081999999999999)"
6,4,,T,H-POLE,12, 03- 04,25.73851078,NIL,FALSE,107.954681,,10.082,78.7355,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7355 10.081999999999999, 78.73541666666667 10.08225)"
7,5,,T,H-POLE,12, 04- 05,29.27477931,NIL,FALSE,107.306816,,10.08225,78.73541667,GOOD,Available,230 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73541666666667 10.08225, 78.73533333333333 10.0825)"
8,6,,T,SB,21, 05- 06,29.56376003,0.85,FALSE,106.880241,"45°20'24""L",10.0825,78.73533333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73533333333333 10.0825, 78.73577777777778 10.083444444444446)"
9,7,,T,DB,26, 06- 07,120,1.4,FALSE,104.748688,"2°49'12""R",10.08344444,78.73577778,GOOD,Available,"HT ,LT",Thirupathur-karaikudi Road,Plain,Common tower for 110kV Karakudi - Thirumayam  Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73577777777778 10.083444444444446, 78.73630555555556 10.084805555555556)"
10,8,,T,DB,26, 07- 08,164,0.72,FALSE,102.592567,"5°2'24""L",10.08480556,78.73630556,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73630555555556 10.084805555555556, 78.73661111111112 10.085361111111112)"
11, 08A,2W,T,DB,26, 08- 08A,71.1729895,0.68,0,102.32016,"17°16'12""R",10.08536111,78.73661111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73661111111112 10.085361111111112, 78.73677777777777 10.086416666666667)"
12,9,,T,SC,22, 08A- 09,116.7211788,0.32,0,99.832924,"33°24'0""L",10.08641667,78.73677778,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73677777777777 10.086416666666667, 78.73852777777778 10.08825)"
13,10,,S,SA,21, 09- 10,278.472042,0.36,FALSE,95.681503,,10.08825,78.73852778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73852777777778 10.08825, 78.74027777777778 10.090166666666667)"
