S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 1 ( TN - 33 ),3W,T,DC,26,,,7.58,FALSE,128.413742,,9.350593099,78.86914222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8691422156989 9.35059309937059, 78.8688382878899 9.35078781098127)"
2, TN - 2,,T,DC,26, TN - 5 :  TN - 6,42.74072437,4.65,FALSE,125.419052,9°16'56''RT,9.350787811,78.86883829,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8688382878899 9.35078781098127, 78.867390230298 9.35141335241496)"
3, TN - 3,,T,DC,26, TN - 6 :  TN - 7,176.512417,5.98,FALSE,119.005211,0°10'31''RT,9.351413352,78.86739023,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.867390230298 9.35141335241496, 78.8653571996837 9.35228423215448)"
4, TN - 4,,T,DC,26, TN - 7 :  TN - 8,246.2824783,4.59,FALSE,114.415413,0°8'22''LT,9.352284232,78.8653572,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8653571996837 9.35228423215448, 78.8640106469392 9.35286493040621)"
5, TN - 5,,T,DC,32, TN - 8 :  TN - 9,164.3056064,3.98,FALSE,110.28701,0°16'12''RT,9.35286493,78.86401065,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8640106469392 9.35286493040621, 78.862167969346 9.353649308905)"
6, TN - 6,,T,DC,32, TN - 9 :  TN - 10,223.2868347,4.77,0,106.367599,0°10'43''RT,9.353649309,78.86216797,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.862167969346 9.353649308905, 78.8602127227932 9.35447442345321)"
7, TN - 7,,T,DC,32, TN - 10 :  TN - 11,236.4321081,6.84,0,106.278023,0°0'7''LT,9.354474423,78.86021272,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8602127227932 9.35447442345321, 78.8584135472774 9.35523374006152)"
8, TN - 8,,T,DC,32, TN - 11 :  TN - 12,217.8017875,4.69,FALSE,104.791061,0°10'42''LT,9.35523374,78.85841355,GOOD,Available,"LT, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8584135472774 9.35523374006152, 78.8565113581717 9.35604351572692)"
9, TN - 9,,T,DC,26, TN - 12 : GANTRY AT PATTINAKATHAN,230.4035996,7.57,FALSE,106.398483,84°52'46''LT,9.356043516,78.85651136,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8565113581717 9.35604351572692, 78.8569018710404 9.35724975541234)"
10, TN - 10,,T,DC,26,GANTRY AT PATTINAKATHAN : ,143.181362,Water logged,FALSE,108.797783,31°37'54''RT,9.357249755,78.85690187,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8569018710404 9.35724975541234, 78.8566805049777 9.35815835371613)"
11, TN - 11,,T,DC,26, : ,106.423908,Water logged,FALSE,102.345108,58°15'59''RT,9.358158354,78.8566805,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8566805049777 9.35815835371613, 78.8551331218332 9.35866235755384)"
12, TN - 12,,T,DC,26, : ,181.9350186,4.56,FALSE,98.242538,87°50'1''LT,9.358662358,78.85513312,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8551331218332 9.35866235755384, 78.8550514820963 9.35837527737021)"
13,GANTRY AT PATTINAKATHAN,2W,GANTRY,DC,15, : ,36.00371071,8.95,FALSE,95.064133,,9.358375277,78.85505148,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
