S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Kavanoor SS ),Gantry,H-POLE,12,,,,,52.217857,,9.483166666666667,78.56263888888888,GOOD,,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56263888888888 9.483166666666667, 78.56261111111111 9.483)"
2,1,T,DB,25,GANTRY-1,18.032697780494725,3.12,"=IF(H7>15,0)",53.4654049999999,"34°3'36""L",9.483,78.56261111111111,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56261111111111 9.483, 78.56102777777778 9.481666666666667)"
3,2,T,DB,25,1-2,225.99399528848036,4.01,"=IF(H8>15,0)",51.028015,"79°22'12""L",9.481666666666667,78.56102777777778,GOOD,Available,"11 KV,33Wind",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56102777777778 9.481666666666667, 78.55897222222222 9.483305555555555)"
4,3,S,DA,26,2-3,287.61256475260427,3.14,"=IF(H9>15,0)",50.2847399999999,,9.483305555555555,78.55897222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55897222222222 9.483305555555555, 78.55694444444444 9.484888888888888)"
5,4,S,DA,26,3-4,285.5122185954979,2.06,"=IF(H10>15,0)",49.7720449999999,,9.484888888888888,78.55694444444444,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55694444444444 9.484888888888888, 78.55499999999999 9.486444444444444)"
6,5,S,DA,26,4-5,273.14316329532375,1.72,"=IF(H11>15,0)",48.1874729999999,,9.486444444444444,78.55499999999999,GOOD,Available,11KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55499999999999 9.486444444444444, 78.55297222222222 9.488083333333332)"
7,6,S,DA,26,5-6,288.42764539050626,1.53,"=IF(H12>15,0)",50.227066,,9.488083333333332,78.55297222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55297222222222 9.488083333333332, 78.55069444444445 9.48986111111111)"
8,7,T,DB,25,6-7,319.98886007349387,2.11,"=IF(H13>15,0)",50.158005,"11°12'0""L",9.48986111111111,78.55069444444445,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55069444444445 9.48986111111111, 78.54891666666667 9.491916666666667)"
9,8,S,DA,26,7-8,297.4857621866103,4.09,"=IF(H14>15,0)",51.404068,,9.491916666666667,78.54891666666667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54891666666667 9.491916666666667, 78.54741666666666 9.493777777777776)"
10,9,S,DA,26,8-9,264.29846021302933,6.1,"=IF(H15>15,0)",53.8496129999999,,9.493777777777776,78.54741666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54741666666666 9.493777777777776, 78.54566666666666 9.495861111111111)"
