SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water Logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,Marthandam,,,,,,,,16,8.318482416,77.22415634,,,,,,Marthandam Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22415634 8.318482416, 77.22435347 8.318469812)"
1,1,T,"38°42'14""LT",KCR,24,Gantry MARTHANDAM- T1,21.768195722112296,2.7,16,8.318469812,77.22435347,GOOD,NOT AVAILABLE,,,Plain Land,"DC LINE : Gantry MARTHANDAM- T1 earth Wire not available,Plain land,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22435347 8.318469812, 77.22531806 8.319005237)"
2,2,T,"10°21'47""LT",HCR,21.94,T1-T2,121.68448164826438,2.42,19,8.319005237,77.22531806,GOOD,AVAILABLE,Lt Line,"Canal,Well,Pump house",Plain Land,"DC LINE : canal , LT line , WELL & PUMP HOUSE, Plain LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22531806 8.319005237, 77.22626657 8.319783838)"
3,3,T,"40°02'58""LT",KCR,24,T2-T3,135.44291982241066,2.78,17,8.319783838,77.22626657,GOOD,AVAILABLE,,Odai(Nala),Plain Land,"DC LINE   Odai ( NALA) , PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22626657 8.319783838, 77.22649824 8.321034187)"
4,4,T,"10°29'38""RT",HCR,21.94,T3-T4,140.66942853723958,2.65,15,8.321034187,77.22649824,GOOD,AVAILABLE,,River,Agri Land,"DC LINE :  brick factry , thamiraparani River , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22649824 8.321034187, 77.22727675 8.323042232)"
5,5,T,"84°33'06""RT",KCR+3,27,T4-T5,238.15042806802282,2.47,28,8.323042232,77.22727675,GOOD,AVAILABLE,11KV Line,Road,Hills area,"Dc line : Road ( thekkuruchi to neyanaveli ) 11 kv Line , rubber garden , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22727675 8.323042232, 77.22772333 8.322917489)"
6,6,T,"04°17'00""RT",HCR,21.94,T5-T6,51.10851101332499,2.52,28,8.322917489,77.22772333,GOOD,AVAILABLE,,,Plain Land,Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22772333 8.322917489, 77.23012928 8.321998855)"
7,7,S,,GCR,23.62,T6-T7,283.9306256711667,1.75,30,8.321998855,77.23012928,GOOD,AVAILABLE,,,Plain Land,"DC LINE   Plain land , house in 5 mts ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23012928 8.321998855, 77.23172083 8.321451779)"
8,8,S,,GCR+3,26.62,T7-T8,185.5283300334294,1.4,30,8.321451779,77.23172083,GOOD,AVAILABLE,LT Line,Road,Plain Land,"Dc line : ROAD ( MARTHANDAM TO MELPURAM ) LT line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23172083 8.321451779, 77.23346628 8.320844329)"
9,9,S,,GCR+3,26.62,T8-T9,203.7394366783015,1.58,28,8.320844329,77.23346628,GOOD,AVAILABLE,Lt Line,Road,Plain Land,"Dc line : Plain land , 2nos compound wall , Road ,  LT line ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23346628 8.320844329, 77.23536194 8.320155923)"
10,10,T,"30°25'34""RT",KCR+3,27,T9-T10,222.3408575363657,2.68,17,8.320155923,77.23536194,GOOD,AVAILABLE,,,Agri Land,"Dc LINE :  Agri land 2 nos house ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23536194 8.320155923, 77.23682206 8.318463331)"
11,11,S,,GCR,23.62,T10-T11,246.8893503434133,1.83,12,8.318463331,77.23682206,GOOD,AVAILABLE,11KV Line,"Road, Odai(Nala)-2Nos",Plain Land,"DC LINE    ROAD( SETHERAL TO MARTHANDAM ) PLAIN LAND , 2NOS Odai(NALA) , 1NOS 11KVline , 2NOS STORE ,  PUMPHOUSE , 1NOS BUS STAND ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23682206 8.318463331, 77.23778497 8.317241154)"
12,12,T,"03°35'25""RT",HCR+3,24.94,T11-T12,171.87822984896908,2.9,26,8.317241154,77.23778497,GOOD,AVAILABLE,11KV Line,Street Road,Agri land,"DC LINE :  ST ROAD ,1NOS 11 KV LINE, AGRI LAND ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23778497 8.317241154, 77.23907679 8.315728024)"
13,13,S,,GCR+3,26.62,T12-T13,219.74740911556898,1.41,26,8.315728024,77.23907679,GOOD,AVAILABLE,11KV Line,Road,Agri land,"DC LINE   1no 11 kv Line, Road ( marthandam to payanam ), school building ,  welding shed,  wood store shed ,  store-2Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23907679 8.315728024, 77.24044337 8.314185022)"
14,14,S,,GCR,23.62,T13-T14,227.6400201217381,1.49,18,8.314185022,77.24044337,GOOD,AVAILABLE,Lt Linne,Street Road,Agri land,"DC LINE :  Lt line ,  Temple, , street Road , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24044337 8.314185022, 77.2418569 8.31259259)"
15,15,S,,GCR,23.62,T14-T15,235.16384633905102,1.59,17,8.31259259,77.2418569,GOOD,AVAILABLE,,River,Agri land,"DC LINE :  thamiraparani River , AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2418569 8.31259259, 77.24345215 8.310560905)"
16,16,S,,GCR,23.62,T15-T16,285.35450058658176,1.71,25,8.310560905,77.24345215,GOOD,AVAILABLE,Lt Line,Street Road,Plain Land,"dc line : street Road , 2nos lt line, 4nos house , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24345215 8.310560905, 77.24484823 8.308904429)"
17,17,S,,GCR+3,26.62,T16-T17,239.2793368470417,1.62,40,8.308904429,77.24484823,GOOD,AVAILABLE,Lt Line,"Road, Street Road",Agri Land,"DC LINE : Road ( marthandam to cholachal, Lt line , street Road, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24484823 8.308904429, 77.24626243 8.307288423)"
18,18,S,,GCR,23.62,T17-T18,237.17500967218604,1.42,35,8.307288423,77.24626243,GOOD,AVAILABLE,Lt Line,Street Road-2nos,Agri land,"Dc line :  2NOS STREET ROAD ,  LT Line, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24626243 8.307288423, 77.24773832 8.305432206)"
19,19,T,"19°59'05""LT",KCR,24,T18-T19,261.9664099174044,2.5,46,8.305432206,77.24773832,GOOD,AVAILABLE,,,Agri land,DC LINE  Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24773832 8.305432206, 77.24968929 8.304310166)"
20,20,T,"04°08'17""LT",HCR,21.94,T19-T20,248.26053458821852,2.68,46,8.304310166,77.24968929,GOOD,AVAILABLE,,,Agri land,"DC LINE   VILLAGE ROAD , AGRI LAND ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24968929 8.304310166, 77.25156516 8.303184811)"
21,21,S,,GCR,23.62,T20-T21,241.3182781307594,1.63,64,8.303184811,77.25156516,GOOD,AVAILABLE,,,Agri land,DC LINE :  Agri LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25156516 8.303184811, 77.25272857 8.302617807)"
