S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO,3W,T,DC,26,,,0.36,FALSE,27.324247,,9.740583333,78.87086111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87086111111111 9.740583333333333, 78.8701111111111 9.740222222222222)"
2,1,,T,SB,25,LILO-1,90.98391153,3.41,FALSE,29.499443,"10°14'24""L",9.740222222,78.87011111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8701111111111 9.740222222222222, 78.8676111111111 9.739583333333332)"
3,2,,S,SA,26,01-Feb,283.8473457,6.05,FALSE,28.78071,,9.739583333,78.86761111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8676111111111 9.739583333333332, 78.86513888888888 9.738944444444444)"
4,3,,T,SB,25,02-Mar,280.0820122,1.16,FALSE,28.910681,"9°18'36""R",9.738944444,78.86513889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86513888888888 9.738944444444444, 78.86313888888888 9.738055555555555)"
5,4,,S,SA,26,03-Apr,239.4969298,3.01,FALSE,28.678526,,9.738055556,78.86313889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86313888888888 9.738055555555555, 78.8611111111111 9.737166666666665)"
6,5,,S,SA,26,04-May,244.9101476,2.51,FALSE,29.622427,,9.737166667,78.86111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8611111111111 9.737166666666665, 78.85894444444443 9.73622222222222)"
7,6,,T,SB,25,05-Jun,257.7183734,2.37,FALSE,30.117573,"12°36'36""L",9.736222222,78.85894444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85894444444443 9.73622222222222, 78.8565 9.735722222222222)"
8,7,,S,SA,26,06-Jul,276.6945633,3.3,FALSE,29.038519,,9.735722222,78.8565,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8565 9.735722222222222, 78.85394444444444 9.735194444444444)"
9,8,,S,SA,26,07-Aug,284.0761123,1.05,FALSE,28.126818,,9.735194444,78.85394444,GOOD,NO E/W,LT,Gudalur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85394444444444 9.735194444444444, 78.85144444444444 9.734666666666666)"
10,9,,S,SA,26,08-Sep,281.3740231,1.5,FALSE,28.876541,,9.734666667,78.85144444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85144444444444 9.734666666666666, 78.84897222222222 9.734194444444444)"
11,10,,S,SA,26,09-Oct,277.2237226,5.37,FALSE,29.831152,,9.734194444,78.84897222,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84897222222222 9.734194444444444, 78.84644444444444 9.733666666666666)"
12,11,,S,SA,26,10-Nov,282.4509826,2.97,FALSE,29.514225,,9.733666667,78.84644444,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84644444444444 9.733666666666666, 78.84388888888888 9.733166666666667)"
