SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,Gantry (Muthuramalingapuram 110kv S/s),2W,,,,,,,,,9.477355026,78.17326337,GOOD,NOT AVAILABLE,,,AGRI LAND,"DC LINE,FENCING,NO EARTH LINE WIRE,AGRI LAND,MUTHURAMALINGAPURAM 110KV SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1732633709907 9.47735502636886, 78.173649944365 9.47866988649848)"
1,1,,T,"14°18'39""LT",HC,21.94,Gantry (Muthuramalingapuram 110kv S/s) - T1,151.6186672,2.78,,9.478669886,78.17364994,GOOD,AVAILABLE,,WELL,AGRI LAND,"DC LINE,WELL ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.173649944365 9.47866988649848, 78.1736600026488 9.47896156253469)"
2,2,,DP,,,8,T1-T2,32.30497794,2.43,,9.478961563,78.17366,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"POST,LT,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1736600026488 9.47896156253469, 78.1736184284091 9.47901513565724)"
3,2A,,DP,,,8,T2-T2A,7.486289468,2.76,,9.479015136,78.17361843,GOOD,NOT AVAILABLE,LT LINE,,AGRI LAND,"POST,LT,AGRI LAND, T2-T2A EARTH WIRE IS NOT AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1736184284091 9.47901513565724, 78.1736931949853 9.47936666772922)"
4,3,,DP,,,8,T2A-T3,39.77019518,2.45,,9.479366668,78.17369319,GOOD,AVAILABLE,110KV LINE,,AGRI LAND,"POST,110 KV LINE CROSSING OUR LINE BOTTOM,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1736931949853 9.47936666772922, 78.1735916063189 9.47939014728094)"
5,3A,,DP,,,8,T3-T3A,11.46286046,2.54,,9.479390147,78.17359161,GOOD,NOT AVAILABLE,110KV LINE,,AGRI LAND," POST,110 LINE CROSSING OUR LINE BOTTOM,T3-T3A EARTH WIRE IS NOT AVAILABLE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1735916063189 9.47939014728094, 78.1739134714007 9.47978334685894)"
6,4,,T,"19°5'2""RT",HC,21.94,T3A-T4,56.08512147,2.63,,9.479783347,78.17391347,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1739134714007 9.47978334685894, 78.1761333346366 9.48111010274888)"
7,5,,T,"20°3'21""RT",HC,21.94,T4-T5,284.748319,2.7,,9.481110103,78.17613333,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1761333346366 9.48111010274888, 78.1778533011674 9.4814417909197)"
8,6,,T,"5°27'50""RT",HC,21.94,T5-T6,192.5497057,2.26,,9.481441791,78.1778533,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1778533011674 9.4814417909197, 78.1796567514538 9.48161507553945)"
9,7,,T,"3°55'24""RT",HC,21.94,T6-T7,199.1168772,2.58,,9.481615076,78.17965675,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1796567514538 9.48161507553945, 78.181036747992 9.48165343624496)"
10,8,,T,"31°31'12""LT",KC,24,T7-T8,151.7139813,2.47,,9.481653436,78.18103675,GOOD,AVAILABLE,11KV LINE-2NOS,,AGRI LAND,"DC LINE,2NOS  11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.181036747992 9.48165343624496, 78.1825548782944 9.48263659320783)"
11,9,,S,,GC,23.62,T8-T9,199.1903121,1.52,,9.482636593,78.18255488,GOOD,AVAILABLE,11KV LINE-2NOS,,AGRI LAND,"DC LINE,2NOS 11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1825548782944 9.48263659320783, 78.184411637485 9.48387504288924)"
12,10,,S,,GC,23.62,T9-T10,245.8206977,1.74,,9.483875043,78.18441164,GOOD,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC LINE,2NOS LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.184411637485 9.48387504288924, 78.186369985342 9.48510819702063)"
13,11,,T,"2°8""28""LT",HC,21.94,T10-T11,254.8478281,2.49,,9.485108197,78.18636999,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.186369985342 9.48510819702063, 78.1884332746267 9.48655662662049)"
14,12,,T,"6°53'54""LT",HC,21.94,T11-T12,277.6981565,2.59,,9.486556627,78.18843327,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1884332746267 9.48655662662049, 78.1903651356697 9.48829341130644)"
15,13,,T,"18°18'26""RT",HC,21.94,T12-T13,286.4059412,2.72,,9.488293411,78.19036514,GOOD,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC LINE,2NOS  LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1903651356697 9.48829341130644, 78.1925367191433 9.48924678727828)"
16,14,,T,"11°24'49""LT",HC,21.94,T13-T14,260.9317988,2.88,,9.489246787,78.19253672,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1925367191433 9.48924678727828, 78.1937282904982 9.49008342789947)"
1.53,15,,T,"9°26'44""RT",HC,21.94,T14-T15,160.3812211,2.49,,9.490083428,78.19372829,GOOD,AVAILABLE,110KV SC LINE,,AGRI LAND,"DC LINE,110 KV SC LINE CROSSING OUR LINE TOP,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1937282904982 9.49008342789947, 78.1957815214991 9.49106986755786)"
18,16,,T,"10°3""31""RT",HC,21.94,T15-T16,250.6626853,2.57,,9.491069868,78.19578152,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1957815214991 9.49106986755786, 78.1978451460599 9.49164823799829)"
19,17,2W,T,"13°5'31""LT",HC,21.94,T16-T17,235.6357488,2.64,,9.491648238,78.19784515,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1978451460599 9.49164823799829, 78.2002333179116 9.49296006716319)"
20,18,,S,,GC,23.62,T17-T18,299.929098,1.87,,9.492960067,78.20023332,GOOD,AVAILABLE,11KV LINE-2NOS,,AGRI LAND,"DC LINE,2NOS 11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2002333179116 9.49296006716319, 78.2024900615215 9.49415846683031)"
21,19,,S,,GC,23.62,T18-T19,281.2410595,1.38,,9.494158467,78.20249006,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2024900615215 9.49415846683031, 78.2048433646559 9.49547656934949)"
22,20,,T,"14°7""56""LT",HC,21.94,T19-T20,296.9192105,2.52,,9.495476569,78.20484336,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2048433646559 9.49547656934949, 78.2062317430973 9.49675829187256)"
23,21,,S,,GC,23.62,T19-T21,208.3375367,1.75,,9.496758292,78.20623174,GOOD,AVAILABLE,"LT LINE,11KV LINE",,AGRI LAND,"DC LINE,LT LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2062317430973 9.49675829187256, 78.2080432400107 9.49833332255308)"
24,22,,S,,GC,23.62,T21-T22,264.6118065,1.65,,9.498333323,78.20804324,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2080432400107 9.49833332255308, 78.2095667347312 9.49980682779626)"
