S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Kamudhi 110kV SS),2W,Gantry,H-POLE,12,,,,,28.092789,,9.417722222,78.38713889,GOOD,,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3871388888889 9.417722222222222, 78.3871388888889 9.417805555555555)"
2,50,,T,DC,26,Gantry-50,10.51950595,2.35,FALSE,36.253517,"68°38'60""R",9.417805556,78.38713889,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3871388888889 9.417805555555555, 78.3888888888889 9.41713888888889)"
3,49,,T,DC+3,29,50-49,205.3082097,1.6,FALSE,36.433048,"71°59'24""R",9.417138889,78.38888889,GOOD,Available,"33KV,11KV,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3888888888889 9.41713888888889, 78.38902777777778 9.417333333333334)"
4,48,,T,H-POLE,12,49-48,28.05530544,NIL,FALSE,38.506474,,9.417333333,78.38902778,GOOD,Available,,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38902777777778 9.417333333333334, 78.38916666666667 9.417499999999999)"
5,47,,T,H-POLE,12,48-47,23.41707066,NIL,FALSE,38.099209,,9.4175,78.38916667,GOOD,Available,110kV Kamudhi - Kadaladi,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38916666666667 9.417499999999999, 78.38933333333334 9.417583333333333)"
6,46,,T,DB,25,47-46,20.63207241,3.47,FALSE,39.574383,"17°2'24""L",9.417583333,78.38933333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38933333333334 9.417583333333333, 78.39061111111111 9.41786111111111)"
7,45,,T,DC,26,46-45,142.0966604,1.51,FALSE,39.065151,"57°27'36""L",9.417861111,78.39061111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39061111111111 9.41786111111111, 78.39227777777778 9.416166666666667)"
8,44,,S,DA,26,45-44,262.198766,2.63,FALSE,39.167366,,9.416166667,78.39227778,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39227777777778 9.416166666666667, 78.39288888888889 9.415555555555557)"
9,43,,T,DC+3,29,44-43,93.34711195,4.79,FALSE,38.790634,"36°10'48""L",9.415555556,78.39288889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39288888888889 9.415555555555557, 78.39327777777778 9.412888888888888)"
10,42,,S,DA+3,29,43-42,300.44658,1.12,FALSE,37.130009,,9.412888889,78.39327778,GOOD,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39327777777778 9.412888888888888, 78.39372222222222 9.410111111111112)"
11,41,,S,DA,26,42-41,309.628273,0.66,FALSE,36.789703,,9.410111111,78.39372222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39372222222222 9.410111111111112, 78.39416666666668 9.407472222222223)"
12,40,,T,DC+3,29,41-40,295.9691352,2.03,FALSE,36.522774,"36°10'48""R",9.407472222,78.39416667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39416666666668 9.407472222222223, 78.39591666666668 9.405777777777779)"
13,39,,S,DA+6,32,40-39,269.2891171,1.56,FALSE,37.914677,,9.405777778,78.39591667,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39591666666668 9.405777777777779, 78.39769444444445 9.404111111111112)"
14,38,,S,DA,26,39-38,267.6990193,1.03,FALSE,37.771896,,9.404111111,78.39769444,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39769444444445 9.404111111111112, 78.39941666666667 9.402444444444445)"
15,37,,S,DA,26,38-37,266.098293,2.18,FALSE,38.581234,,9.402444444,78.39941667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39941666666667 9.402444444444445, 78.40116666666667 9.40075)"
16,36,,T,DC,26,37-36,267.3268199,5.07,FALSE,38.071831,"20°55'12""L",9.40075,78.40116667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40116666666667 9.40075, 78.40222222222222 9.398472222222221)"
17,35,,S,DA,26,36-35,280.0162106,1.31,FALSE,38.722382,,9.398472222,78.40222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40222222222222 9.398472222222221, 78.40325 9.396277777777778)"
18,34,,S,DA,26,35-34,267.2493424,3.49,FALSE,38.694675,,9.396277778,78.40325,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40325 9.396277777777778, 78.40438888888889 9.393833333333333)"
19,33,,S,DA,26,34-33,295.5761139,1.58,FALSE,35.60931,,9.393833333,78.40438889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40438888888889 9.393833333333333, 78.40525000000001 9.392027777777777)"
20,32,2W,T,DC+6,29,33-32,224.0860284,2.02,FALSE,37.786556,"35°53'24""L",9.392027778,78.40525,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40525000000001 9.392027777777777, 78.40483333333334 9.389833333333334)"
21,31,,S,DA,26,32-31,245.809365,1.24,FALSE,35.381424,,9.389833333,78.40483333,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40483333333334 9.389833333333334, 78.40444444444445 9.387638888888889)"
22,30,,S,DA+3,29,31-30,245.2173811,1.96,FALSE,34.159645,,9.387638889,78.40444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40444444444445 9.387638888888889, 78.40402777777778 9.385388888888889)"
23,29,,S,DA,26,30-29,256.1605785,4.6,FALSE,35.054745,,9.385388889,78.40402778,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40402777777778 9.385388888888889, 78.40366666666667 9.38313888888889)"
24,28,,T,DB,25,29-28,251.4379206,2.27,FALSE,35.903915,"24°42'36""L",9.383138889,78.40366667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40366666666667 9.38313888888889, 78.40225000000001 9.381055555555555)"
