S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, Gantry  ( VGTPS SS),2W,Gantry,Gantry,18,,,,,12,,9.348444444,78.92491667,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92491666666668 9.348444444444445, 78.92544444444445 9.348361111111112)"
2,1,,T,DB,25, Gantry-1,59.60354154,0.59,FALSE,12.021565,"66°9'36""L",9.348361111,78.92544444,GOOD,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92544444444445 9.348361111111112, 78.92616666666667 9.345833333333333)"
3,2,,T,DB,25,01-Feb,292.0645324,1.44,FALSE,11.834888,"1°4'48""R",9.345833333,78.92616667,GOOD,Available,11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92616666666667 9.345833333333333, 78.92694444444444 9.343305555555556)"
4,3,,T,DB,25,02-Mar,291.0058303,0.03,FALSE,10.621618,"25°48'0""L",9.343305556,78.92694444,GOOD,Available,110KV - UP,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92694444444444 9.343305555555556, 78.92669444444445 9.341805555555556)"
5,4,2W,T,DB,25,03-Apr,168.5924375,0.04,FALSE,9.071958,"87°20'24""L",9.341805556,78.92669444,GOOD,Available,11KV-2N,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92669444444445 9.341805555555556, 78.92441666666667 9.342083333333333)"
