SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,Gantry (Aruppukottai),,,,,,,,97,9.500453303,78.12141392,,,,,,pay aruppukkottai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12141392 9.500453303, 78.12135056 9.500307805)"
1,1,T,"10°9'43""LT",HC,21.94,Gantry (Aruppukottai)- T1,17.54724231889895,2.78,98,9.500307805,78.12135056,GOOD,AVAILABLE,,,PLAIN LAND,DC LINE PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12135056 9.500307805, 78.12099449 9.498858772)"
2,2,S,,GC+3,26.62,T1-T2,165.1069229621503,1.43,96,9.498858772,78.12099449,GOOD,AVAILABLE,"33KV LINE, LT LINE, 11KV LINE",ROAD,PLAIN LAND,"DC LINE    33KV LINE,  LT LINE,  11KV LINE,  ROAD ,  PLAIN  LAND ( HOME AREA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12099449 9.498858772, 78.12066458 9.497408741)"
3,3,T,"27°12'28""RT",HC,21.94,T2-T3,164.55815334717448,2.76,96,9.497408741,78.12066458,GOOD,AVAILABLE,"33KV LINE, LT LINE-2NOS",,PLAIN LAND,"DCLINE  33KV LINE,2NOS LT  LINE, PLAIN LAND( HOME AREA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12066458 9.497408741, 78.1197124 9.49633006)"
4,4,S,,GC+3,26.62,T3-T4,158.76896277294196,1.42,96,9.49633006,78.1197124,GOOD,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DCLINE 2NOS LT LINE, ROAD , PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1197124 9.49633006, 78.11893992 9.495355209)"
5,5,S,,GC,23.62,T4-T5,137.30313114044344,1.54,96,9.495355209,78.11893992,GOOD,AVAILABLE,,,AGRI LAND,DCLINE AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11893992 9.495355209, 78.11707512 9.493154179)"
6,6,S,,GC,23.62,T5-T6,318.3757625009096,1.63,96,9.493154179,78.11707512,GOOD,AVAILABLE,,,AGRI LAND,SC LINE   AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11707512 9.493154179, 78.11592646 9.491886993)"
7,7,T,"38°9'48""RT",KC,24,T6-T7,188.71134800528122,2.7,96,9.491886993,78.11592646,GOOD,AVAILABLE,,,AGRI LAND,DCLINE  AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11592646 9.491886993, 78.11515638181791 9.49170775787742)"
8,8,T,"130°51'21""LT",KC,24,T7-T8,86.33630022768759,2.26,96,9.49170775787742,78.11515638181791,GOOD,NOT AVAIILABLE,,,AGRI LAND,"DC LINE T7-T8   EARTH WIRE IS NOT AVAILABLE,  AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11515638181791 9.49170775787742, 78.11549161 9.491636664)"
9,9,DP,,DP,8,T8-T9,38.3438909084279,2.58,96,9.491636664,78.11549161,GOOD,AVAILABLE,,,AGRI LAND,DP  AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11549161 9.491636664, 78.11565153 9.491492816)"
10,10,DP,,DP,8,T9-T10,23.715735809735623,2.47,96,9.491492816,78.11565153,GOOD,AVAILABLE,110KV LINE,,AGRI LAND,"DP OVER HEAD CROSSING  110KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11565153 9.491492816, 78.11580006 9.491238187)"
