S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Pasumalai SS),2W,Gantry,H-POLE,12,,,,,164.821671,,9.905583333,78.08333333,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08333333333333 9.905583333333334, 78.08358333333332 9.90611111111111)"
2,1,,T,DC,26,Gantry-1,64.92384357,0.87,FALSE,141.00267,"66°59'41"" R",9.906111111,78.08358333,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08358333333332 9.90611111111111, 78.08475 9.90611111111111)"
3,2,,T,DC,26,01-Feb,130.2883082,8.71,FALSE,134.744385,"31°7'29"" R",9.906111111,78.08475,GOOD,Available,HT,TNEB In Side,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08475 9.90611111111111, 78.08611111111111 9.905305555555556)"
4,3,,T,DC,26,02-Mar,173.3423371,2.04,FALSE,141.312271,"17°0'14"" R",9.905305556,78.08611111,GOOD,Available,"HT,LT",School Inside,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08611111111111 9.905305555555556, 78.08788888888888 9.903333333333334)"
5,4,,T,DC,26,03-Apr,293.01816,7.55,FALSE,143.371887,"6°1'27"" L",9.903333333,78.08788889,GOOD,Available,3 LT, ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08788888888888 9.903333333333334, 78.08961111111111 9.901777777777777)"
6,5,,T,DC,26,04-May,256.7529549,3.41,FALSE,136.638428,"9°11'0"" R",9.901777778,78.08961111,GOOD,Available,2 LT, ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08961111111111 9.901777777777777, 78.09163888888888 9.89925)"
7,6,,T,CD,26,05-Jun,355.5416446,3.41,FALSE,141.372604,"14°38'8"" L",9.89925,78.09163889,GOOD,Available,2 LT, ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09163888888888 9.89925, 78.09238888888889 9.898694444444445)"
8,7,,T,DC,26,06-Jul,104.1118446,6.17,FALSE,134.470016,"7°18'35"" R",9.898694444,78.09238889,GOOD,Available,HT,"RAILWAY ROAD, OLD NH",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09238888888889 9.898694444444445, 78.09422222222221 9.896916666666666)"
9,8,,S,DA,26,07-Aug,280.3145798,7.47,FALSE,140.611374,,9.896916667,78.09422222,GOOD,Available,"HT,LT", ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09422222222221 9.896916666666666, 78.09538888888889 9.895805555555555)"
10,9,,T,DC,26,08-Sep,178.1282624,1.97,FALSE,135.38031,"18°1'22"" L",9.895805556,78.09538889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09538888888889 9.895805555555555, 78.09741666666666 9.89486111111111)"
11,10,,S,DA,26,09-Oct,246.170807,2.47,0,136.231689,,9.894861111,78.09741667,GOOD,Available,LT,School Inside,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09741666666666 9.89486111111111, 78.09997222222222 9.893666666666666)"
