S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),"Ground Elevation
(m)","Deviation Angle
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,SEMPATTY GANTRY,2W,T,,BAY,12,,,NIL,307.7454834,,10.284358,77.872994,Good,NO E/W,,,,SEMPATTY SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.872994 10.284358, 77.873067 10.284285)"
2,1,,T,KCR,DC+0,22,Sempatty Gantry- 1,25,1.89,285.8756104,19°43'1''LT,10.284285,77.873067,Good,NO E/W,,,Plain,SS Inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.873067 10.284285, 77.8746407199651 10.2835395745933)"
3,2,,T,HCR,DB+0,22,01-Feb,196,5.21,285.8756104,10°46'32''LT,10.28353957,77.87464072,Good,Good,"5-22KV,LT",NH ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8746407199651 10.2835395745933, 77.8773508407175 10.2828311361372)"
4,3,,S,GCR,DA+0,24,02-Mar,311,5.65,289.7208252,,10.28283114,77.87735084,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8773508407175 10.2828311361372, 77.8798079118132 10.2821845561265)"
5,4,,S,GCR,DA+0,24,03-Apr,283,2.45,291.4030762,,10.28218456,77.87980791,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8798079118132 10.2821845561265, 77.8821637295186 10.2815664745867)"
6,5,,T,HCR,DC+0,22,04-May,271,2.36,298.612915,18°42'57''RT,10.28156647,77.88216373,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8821637295186 10.2815664745867, 77.8842069860547 10.2802243642508)"
7,6,,S,GCR,DA+0,24,05-Jun,273,2.38,294.2871094,,10.28022436,77.88420699,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8842069860547 10.2802243642508, 77.8862209897488 10.2788977604359)"
8,7,,S,GCR,DA+0,24,06-Jul,270,1.21,301.2565918,,10.27889776,77.88622099,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8862209897488 10.2788977604359, 77.8882787469774 10.277537042275)"
9,8,,S,GCR ,DA+0,24,07-Aug,276,6.86,300.0550537,,10.27753704,77.88827875,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8882787469774 10.277537042275, 77.8902622405439 10.2762316446751)"
10,9,,S,GCR,DA+0,24,08-Sep,266,6.43,300.776001,,10.27623164,77.89026224,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8902622405439 10.2762316446751, 77.8925159666687 10.2747822459787)"
11,10,,S,GCR,DA+0,24,09-Oct,299,6.56,303.6599121,,10.27478225,77.89251597,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8925159666687 10.2747822459787, 77.8945272881537 10.2735320013016)"
12,11,,S,GCR,DA+0,24,10-Nov,265,3.85,293.56604,,10.273532,77.89452729,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8945272881537 10.2735320013016, 77.8962689638137 10.2724371571093)"
13,12,2W,S,GCR,DA+0,24,11-Dec,231,3.21,302.9388428,,10.27243716,77.89626896,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8962689638137 10.2724371571093, 77.8984543774276 10.2710372954607)"
14,13,,T,HCR,DC+0,22,Dec-13,290,5.25,306.7840576,27°33'31''LT,10.2710373,77.89845438,Good,Good,"22KV, LT",THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8984543774276 10.2710372954607, 77.9007400386035 10.2708259038627)"
15,14,,S,GCR,DA+0,24,13-14,256,5.91,301.2565918,,10.2708259,77.90074004,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9007400386035 10.2708259038627, 77.9032007139176 10.270559778437)"
16,15,,S,GCR,DA+0,24,14-15,275,5.86,304.6212158,,10.27055978,77.90320071,Good,Good,LT,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9032007139176 10.270559778437, 77.905794410035 10.2702840138226)"
17,16,,S,GCR,DA+0,24,15-16,290,5.21,307.2647705,,10.27028401,77.90579441,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.905794410035 10.2702840138226, 77.9083167761564 10.2700160443782)"
18,17,,S,GCR,DA+0,24,16-17,282,4.01,307.9857178,,10.27001604,77.90831678,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9083167761564 10.2700160443782, 77.9109522979706 10.2697481587529)"
