S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Periyar SS),Gantry,H-POLE,12,,,,,496.303344999999,,9.62738888888889,77.19161111111111,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19161111111111 9.62738888888889, 77.19194444444445 9.626916666666666)"
2,1,T,DC,26,Gantry - 1,62.091430837723706,1.23,"=IF(H7>15,0)",516.444702,"31°2'40"" L",9.626916666666666,77.19194444444445,GOOD,NO E/W,,Power plant Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19194444444445 9.626916666666666, 77.19286111111111 9.6265)"
3,2,T,DC,26,1-2,112.09353847378516,1.42,"=IF(H8>15,0)",528.848266999999,"3°31'29"" R",9.6265,77.19286111111111,GOOD,Available,,Power Plant Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19286111111111 9.6265, 77.19530555555556 9.625222222222222)"
4,3,T,DC,26,2-3,302.25182575506295,2.18,"=IF(H9>15,0)",552.832336,"17°11'13"" L",9.625222222222222,77.19530555555556,GOOD,Available,22 KV,Power Plant Road ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19530555555556 9.625222222222222, 77.19772222222223 9.624777777777778)"
5,4,T,DC,26,3-4,270.9727748567631,0.58,"=IF(H10>15,0)",556.669860999999,"34°57'8"" L",9.624777777777778,77.19772222222223,GOOD,Available,LT,Forest Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19772222222223 9.624777777777778, 77.20030555555556 9.625916666666667)"
6,5,S,DA,26,4-5,309.83948281476086,1.38,"=IF(H11>15,0)",554.251952999999,,9.625916666666667,77.20030555555556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20030555555556 9.625916666666667, 77.20297222222223 9.627083333333333)"
7,6,S,DA,26,5-6,319.38610134589226,0.28,"=IF(H12>15,0)",544.2948,,9.627083333333333,77.20297222222223,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20297222222223 9.627083333333333, 77.20538888888889 9.628166666666667)"
8,7,S,DA,26,6-7,290.3544860146486,1.82,"=IF(H13>15,0)",535.52948,,9.628166666666667,77.20538888888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20538888888889 9.628166666666667, 77.20752777777778 9.629111111111111)"
9,8,S,DA,26,7-8,257.27537843105245,0.96,"=IF(H14>15,0)",525.27832,,9.629111111111111,77.20752777777778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20752777777778 9.629111111111111, 77.20986111111111 9.63013888888889)"
10,9,S,DA,26,8-9,280.03070164514276,1.12,"=IF(H15>15,0)",523.658997,,9.63013888888889,77.20986111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20986111111111 9.63013888888889, 77.21130555555555 9.630777777777778)"
